gt_head,gt_name,n_gt_pos,n_tp_fired,mean_total_heads_when_fired,mean_extra_heads,top5_cofired_heads
4,SINUS BRADYCARDIA,637,618,6.38,5.38,"0:ABNORMAL ECG(618, 100%); 3:SINUS RHYTHM(544, 88%); 13:LEFT ATRIAL ENLARGEMENT(421, 68%); 33:MARKED SINUS BRADYCARDIA(349, 56%); 11:RIGHT BUNDLE BRANCH BLOCK(203, 33%)"
5,ATRIAL FIBRILLATION,1514,1477,6.74,5.74,"0:ABNORMAL ECG(1477, 100%); 3:SINUS RHYTHM(1343, 91%); 39:UNDETERMINED RHYTHM(910, 62%); 11:RIGHT BUNDLE BRANCH BLOCK(539, 36%); 28:WITH RAPID VENTRICULAR RESPONSE(531, 36%)"
6,SINUS TACHYCARDIA,826,810,6.24,5.24,"0:ABNORMAL ECG(810, 100%); 13:LEFT ATRIAL ENLARGEMENT(720, 89%); 74:BIATRIAL ENLARGEMENT(221, 27%); 60:RIGHT ATRIAL ENLARGEMENT(191, 24%); 11:RIGHT BUNDLE BRANCH BLOCK(184, 23%)"
93,SUPRAVENTRICULAR TACHYCARDIA,42,24,8.42,7.42,"0:ABNORMAL ECG(24, 100%); 6:SINUS TACHYCARDIA(24, 100%); 3:SINUS RHYTHM(22, 92%); 98:VENTRICULAR TACHYCARDIA(22, 92%); 32:ATRIAL FLUTTER(14, 58%)"
98,VENTRICULAR TACHYCARDIA,42,27,8.37,7.37,"0:ABNORMAL ECG(27, 100%); 6:SINUS TACHYCARDIA(27, 100%); 3:SINUS RHYTHM(25, 93%); 93:SUPRAVENTRICULAR TACHYCARDIA(22, 81%); 32:ATRIAL FLUTTER(16, 59%)"
142,WITH SINUS PAUSE,0,0,0,0,
