head\head,4:SINUS BRADYCARDIA,5:ATRIAL FIBRILLATION,6:SINUS TACHYCARDIA,93:SUPRAVENTRICULAR TACHYCARDIA,98:VENTRICULAR TACHYCARDIA,142:WITH SINUS PAUSE
4:SINUS BRADYCARDIA,1.0,0.0334,0.0165,0.0,0.0,0.0
5:ATRIAL FIBRILLATION,0.0334,1.0,0.1031,0.0069,0.0082,0.0
6:SINUS TACHYCARDIA,0.0165,0.1031,1.0,0.0218,0.0281,0.0
93:SUPRAVENTRICULAR TACHYCARDIA,0.0,0.0069,0.0218,1.0,0.68,0.0
98:VENTRICULAR TACHYCARDIA,0.0,0.0082,0.0281,0.68,1.0,0.0
142:WITH SINUS PAUSE,0.0,0.0,0.0,0.0,0.0,0.0
