head,name,n_gt,n_pred,n_tp,n_fp,sensitivity,ppv,n_fire_solo_in_scope,pct_solo_when_fired,mean_other_scope_when_fired,max_other_scope_when_fired,top_scope_companion,companion_rate
4,SINUS BRADYCARDIA,637,3745,618,3127,0.970,0.165,3479,0.929,0.078,2,5:ATRIAL FIBRILLATION,0.051
5,ATRIAL FIBRILLATION,1514,2135,1477,658,0.976,0.692,1535,0.719,0.309,3,6:SINUS TACHYCARDIA,0.204
6,SINUS TACHYCARDIA,826,2528,810,1718,0.981,0.320,1961,0.776,0.263,3,5:ATRIAL FIBRILLATION,0.172
93,SUPRAVENTRICULAR TACHYCARDIA,42,55,24,31,0.571,0.436,0,0.000,2.200,3,6:SINUS TACHYCARDIA,1.000
98,VENTRICULAR TACHYCARDIA,42,71,27,44,0.643,0.380,0,0.000,1.972,3,6:SINUS TACHYCARDIA,1.000
142,WITH SINUS PAUSE,0,0,0,0,nan,nan,0,nan,nan,nan,,
