head,name,n_pred,k0_solo,k1,k2,k3,k4plus
4,SINUS BRADYCARDIA,3745,3479,240,26,0,0
5,ATRIAL FIBRILLATION,2135,1535,554,33,13,0
6,SINUS TACHYCARDIA,2528,1961,483,71,13,0
93,SUPRAVENTRICULAR TACHYCARDIA,55,0,2,40,13,0
98,VENTRICULAR TACHYCARDIA,71,0,15,43,13,0
142,WITH SINUS PAUSE,0,0,0,0,0,0
