fp_n,tp_n,fp_mean,tp_mean,fp_median,tp_median,fp_p25,fp_p75,fp_p95,tp_p25,tp_p75,tp_p95,diff_mean,ratio,cohens_d,ttest_p,mannwhitney_p,event_type,metric
300,300,23.8570404688082,0.3425943125245141,16.1257350750964,0.3189148011137458,12.628187856081453,27.689674251276703,53.34088819572122,0.2530867724198394,0.42714485283601483,0.5706297577288438,23.514446156283686,69.63641717520085,1.5393113770400475,1.1325767027483458e-52,1.0549575516949705e-99,Atrial Fibrillation,mean_motion
300,300,414.83133347405624,6.360294730680904,402.2902062461546,6.419105308874789,396.5643633171779,412.93693966820933,482.11215544218834,5.658575749599993,7.053980076219382,7.558557330979535,408.47103874337535,65.22202995923843,12.665865713012183,1.0479722052700203e-287,1.0548915840000976e-99,Atrial Fibrillation,max_motion
300,300,53.92453746681055,0.7731966704310393,50.11427157782587,0.7801029842144962,49.16062452853005,53.47782126877827,72.09535463599863,0.6973784283450211,0.847178658495434,0.9120279393390778,53.15134079637951,69.74233015870188,7.1937045806672195,9.073945170291207e-216,1.0549575516949705e-99,Atrial Fibrillation,std_motion
300,300,11.455842720526167,0.19141174948381484,5.694262858125909,0.16268090594831303,3.6894997384774584,11.943606877696606,34.74735489714158,0.10459562496757148,0.2691401900813267,0.41272507108793777,11.264430971042353,59.849213809598645,0.84666132663597,1.1492378852253418e-21,1.0546937054447156e-99,Atrial Fibrillation,median_motion
300,300,23.743545483765885,21.21381401301994,25.010684727947257,20.74718752887908,15.05024202389308,31.94385814554718,38.93634621668384,14.995234583476908,25.45440716683127,36.28326387357697,2.5297314707459435,1.119249252830883,0.2794189883021292,0.0006789974257556318,0.00024265353125695228,Atrial Fibrillation,peak_ratio
300,300,10.596588802373006,95.88817204301073,9.67741935483871,97.41935483870968,4.516129032258064,15.483870967741936,23.870967741935484,96.12903225806451,97.41935483870968,97.41935483870968,-85.29158324063772,0.11050986348576858,-15.748631124998628,0.0,5.02543817343275e-102,Atrial Fibrillation,zero_motion_pct
300,300,14.519612723813465,12.87336364973494,6.942027487069854,11.17230219456445,4.093583275323831,12.863898707276993,48.81951554214463,8.246501235715124,15.262100474923086,23.66539564471946,1.6462490740785238,1.1278802587164094,0.08109198278764769,0.32213220018110905,3.766031835353515e-13,Atrial Fibrillation,kurt
300,300,0.10926406871598786,0.032152331599090846,0.005579998081409018,0.011996908768478084,0.0026050286681148626,0.012094299976587852,1.2297136052888338,0.005221673660134228,0.027144183860037578,0.12632674468015123,0.077111737116897,3.3983248891062527,0.26425368361790097,0.0013640293885129901,8.007102563990058e-13,Atrial Fibrillation,baseline_drift
300,300,0.9185635522312577,2.3053814770821557,0.609619721749157,1.8131618750794258,0.2368507392783083,1.2235952440914595,2.9247255547501037,1.3133476205448682,2.7239300867506975,5.888996751387054,-1.3868179248508978,0.39844319101316494,-1.0648590795233501,1.8149931616065798e-33,1.5613581495159032e-43,Atrial Fibrillation,snr_proxy
268,299,67.59331670898487,91.61922077615274,78.44653145122398,92.72026714615977,30.711630948056666,94.14339356129716,116.63844193335815,69.24519207122128,110.9770832822274,140.54333033820174,-24.025904067167872,0.7377634969645857,-0.7392365444623724,3.8045811884859423e-17,7.538210924429537e-13,Atrial Fibrillation,mean_hr_bpm
