fp_n,tp_n,fp_mean,tp_mean,fp_median,tp_median,fp_p25,fp_p75,fp_p95,tp_p25,tp_p75,tp_p95,diff_mean,ratio,cohens_d,ttest_p,mannwhitney_p,metric
3941,2688,18.21557689209798,12.275345907669177,12.005344743760041,11.067314491089533,10.550070065697708,16.56989526434895,48.71460510193267,4.369973105320264,13.55449738986266,34.655500246855276,5.940230984428805,1.483915567765595,0.4082343320719179,1.1406965647047276e-63,3.106645384188237e-81,mean_motion
3941,2688,410.16148676912957,349.4424393347087,399.9675340892287,400.02991139207074,394.2437640906927,406.7541960048481,458.79476741485627,391.9590240672038,408.1966815841482,431.31295084281544,60.71904743442087,1.1737597973217613,0.5697153693399999,5.885374119318871e-96,0.0002993544068661694,max_motion
3941,2688,53.20730740196766,40.858746426608434,49.6767010586441,49.246175296653504,48.85287452465827,51.086922970996,72.06002249367049,24.638454842298998,50.32098070987999,55.437845577808844,12.348560975359227,1.3022256445762486,0.7979213649920062,5.371650575675619e-187,2.0452634902847262e-72,std_motion
3941,2688,7.043086773155611,4.550723655886622,3.2428566467255227,2.7119919289942396,2.374956266915307,5.33559245182158,26.803043217411005,1.3746112661713605,4.214662088845634,21.296569122847867,2.4923631172689893,1.5476850069867403,0.24628485519191204,4.171663995569808e-25,4.618747884224971e-64,median_motion
3941,2688,29.952054325104214,38.374357363796655,33.12174298063563,33.96220782951495,24.54206788821125,37.841416018074675,41.10218420845887,25.472940594011312,40.13534677910017,105.53860594102892,-8.42230303869244,0.780522629764264,-0.4375709618037661,3.705871869408795e-58,1.1008860796359491e-16,peak_ratio
3941,2688,16.568818435043593,32.97449355445094,16.7741935483871,20.0,10.32258064516129,22.58064516129032,30.967741935483872,12.903225806451612,37.93548387096774,97.41935483870968,-16.405675119407345,0.5024737804595368,-0.7103050598514777,1.5207348438111534e-137,1.7934653660310953e-68,zero_motion_pct
3941,2688,13.660224062600285,15.48578308672291,7.53201949012208,13.820328091640777,3.6777054571555974,12.321263133248825,36.17213746143834,7.504334615182813,19.219971324990496,33.85554819036176,-1.825559024122624,0.8821138709034476,-0.05522222724382745,0.018270267399778776,5.754166670420487e-112,kurt
3941,2688,0.06363007062689217,0.01182069297330933,0.0032571805007148417,0.0020584264890247702,0.0014505885854687534,0.00772024681303861,0.0400850909932736,0.0009016791989936212,0.0051116446423836335,0.02843840969021375,0.051809377653582844,5.382939119607152,0.1909840799607409,1.4680551405005055e-16,6.4663960099902155e-46,baseline_drift
3941,2688,1.345468325698928,1.9318213460248905,1.0129518346012711,1.4289048514937264,0.5595410731079585,1.9749939537540269,3.5599904149013026,0.7883734253156192,2.470180835817148,5.878601591926073,-0.5863530203259626,0.6964765807498186,-0.4130340376472006,1.947887267990434e-55,2.4021738848439827e-54,snr_proxy
3729,2652,78.35714356539711,67.04462432467729,78.49056603773585,65.68900376644929,65.11819116135663,93.10291462470983,130.37037037037035,52.886098077593374,77.66628163054895,112.32032392994249,11.312519240719823,1.1687311899301074,0.42934869560852634,1.1138790744310288e-64,4.3507016234616746e-95,mean_hr_bpm
3729,2652,0.38028848095577905,0.33305394981470815,0.28163764725394635,0.26699500787123,0.19440188711734552,0.5042679103032944,1.0235778653986187,0.15814876587263577,0.44209798151866747,0.8477320331573109,0.0472345311410709,1.1418224619985724,0.1598205820691366,1.6896591786209673e-10,4.034790558104235e-08,rr_cv
3176,2225,1.001275762945692,1.0887349246368476,0.7985076962177716,0.9745596399981308,0.5082071383368765,1.3862943611198906,2.3025850929940455,0.5568107370078141,1.5040773967762742,2.3513752571634776,-0.08745916169115553,0.9196690032513397,-0.13354690061160301,1.3934735047557659e-06,1.1492130958196262e-08,samp_en
3941,2688,36.64856635371733,33.304315476190474,39.0,33.0,29.0,46.0,67.0,25.0,39.25,57.0,3.3442508775268536,1.100414941118297,0.2147676254238475,1.481562854896554e-18,1.458531194347117e-45,n_peaks
