event,head,n_pos,n_neg,auroc_base,auroc_clean-probe,auroc_noise-probe
Atrial Fibrillation,5,500,500,0.8898080000000002,0.8772039999999999,0.8799159999999999
Bradycardia,4,500,500,0.973528,0.9782280000000001,0.977076
Supraventricular Run,93,26,500,0.6062307692307692,0.5785384615384617,0.5603076923076924
Ventricular Run,98,500,500,0.35964399999999996,0.44831200000000004,0.469496
