label,head,thr,n_pos,n_neg,TP,FP,FN,TN,sens,spec,ppv,f1,auroc,pr_auc
Normal ECG,2,0.5,9514,12285,1588,262,7926,12023,0.1669,0.9787,0.8584,0.2795,0.8363,0.7633
Atrial Fibrillation,5,0.5,1514,20285,1477,658,37,19627,0.9756,0.9676,0.6918,0.8095,0.9903,0.9357
Bradycardia,4,0.5,637,21162,618,3127,19,18035,0.9702,0.8522,0.165,0.2821,0.9414,0.3354
Sinus Tachycardia,6,0.5,826,20973,810,1718,16,19255,0.9806,0.9181,0.3204,0.483,0.991,0.8914
Supraventricular Run,93,0.5,42,21757,24,31,18,21726,0.5714,0.9986,0.4364,0.4948,0.9915,0.48
Ventricular Run,98,0.5,42,21757,27,44,15,21713,0.6429,0.998,0.3803,0.4779,0.9835,0.4785
Pause,142,0.5,0,21799,0,0,0,21799,0.0,1.0,0.0,0.0,,
