mean_motion,max_motion,std_motion,median_motion,peak_ratio,zero_motion_pct,n_samples_ecg,fs,n_peaks,qrs_width_ms,qrs_width_max_ms,n_wide_qrs,mean_hr_bpm,rr_cv,hr_regularity,premature_pct,kurt,baseline_drift,snr_proxy,samp_en,json_path
9.662735029362183,411.02856004675425,51.24007870051357,1.5754662920113294,42.53749236217989,34.193548387096776,3968,128,30,70.3125,78.125,0,59.96768982229403,0.12739778287659675,0.8726022171234032,3.4482758620689653,10.43431345275741,0.00031641057174858396,1.5980299933989408,1.0116009116784799,Isolated Supraventricular Beat/True/data20240102_aligned_C-002_1700043599660-1700044175660_duration=1s_pos=52552-52616_src=ishne.json
58.211356362301835,1394.3441113584172,130.67104924088045,23.062275270495427,23.953128299004522,3.870967741935484,3968,128,10,109.375,132.8125,2,102.704309063893,0.5038045565871976,0.4961954434128024,44.44444444444444,18.399653705987767,0.0071579475708478234,0.6330079068328899,,Isolated Supraventricular Beat/True/data20240102_aligned_R-003_1697648979857-1697649578857_duration=1s_pos=72252-72316_src=ishne.json
11.572259931528835,416.10284463836086,50.83499584221038,2.640305637040319,35.95691862639228,21.935483870967744,3968,128,45,78.125,132.8125,4,88.04585721730068,0.22869731122765813,0.7713026887723419,0.0,11.539290812846167,0.012813412488497693,5.653682560008964,0.5174701664846592,Isolated Supraventricular Beat/True/ReNew20230809_Patient_P001-006_P-002_04-06-2023_P-002_04-06-2023.linejson_duration=1s_pos=5886593-5886657_src=ishne.json
31.99806519861698,404.26363801823175,48.128332143613974,24.496746944358662,12.634002177159843,3.225806451612903,3968,128,36,54.6875,78.125,0,69.94535519125684,0.30213742392495563,0.6978625760750443,2.857142857142857,17.573067270480337,0.0014207220907701597,1.783702704113246,0.24221969837502366,Isolated Supraventricular Beat/True/data20240102_aligned_R-003_1697647249857-1697647848857_duration=1s_pos=15096-15160_src=ishne.json
9.42444664124679,408.8133582623774,50.9657254515499,1.3233978799285229,43.37796482344234,39.35483870967742,3968,128,30,70.3125,78.125,0,58.18181818181818,0.1508868897148207,0.8491131102851793,6.896551724137931,13.861430255908019,0.0005371991827917814,2.7786345190665704,1.1895840668738362,Isolated Supraventricular Beat/True/data20240102_aligned_C-002_1700040846660-1700043598660_duration=1s_pos=170218-170282_src=ishne.json
11.574140867871177,399.1705780852766,49.27208910618188,3.1585217307646962,34.488135936309874,15.483870967741936,3968,128,34,70.3125,85.9375,0,65.60704115972042,0.31566561060981074,0.6843343893901892,15.151515151515152,19.333293964422488,0.00015361238490043384,1.4409553527546413,0.5520685823000397,Isolated Supraventricular Beat/True/data20240102_aligned_R-003_1697644849857-1697645448857_duration=1s_pos=30710-30774_src=ishne.json
49.648886147967815,402.2943071557684,71.04821422806017,23.85525473782102,8.102785989075986,3.870967741935484,3968,128,49,78.125,132.8125,5,93.99286078531362,0.09158427872107111,0.9084157212789289,2.0833333333333335,11.296395722990724,0.0014847946184044774,7.865810535141222,0.4105802087749349,Isolated Supraventricular Beat/True/ReNew20230809_Patient_P001-006_P-002_04-06-2023_P-002_04-06-2023.linejson_duration=1s_pos=3981113-3981177_src=ishne.json
4.143536060820194,408.7438556931664,23.031932078880452,1.8548294400251297,98.64612037819143,29.29032258064516,3968,128,34,125.0,132.8125,18,68.55288071409251,0.14950025739658146,0.8504997426034185,6.0606060606060606,18.888023494164678,0.0015025931837862835,3.86237245865111,1.0459685551826876,Isolated Supraventricular Beat/True/ReNew20230809_Patient_P001-006_P-006_04-10-2023_P-006_04-10-2023.linejson_duration=1s_pos=10281155-10281219_src=ishne.json
10.412011207335834,408.290614419177,50.594483373204895,1.6879240714986476,39.21342064231484,30.967741935483872,3968,128,28,113.28125,164.0625,14,53.734128012438454,0.22581872237058975,0.7741812776294102,25.925925925925927,12.796463195452796,0.00023429594218524918,1.260263252130459,0.9808292530117262,Isolated Supraventricular Beat/True/data20240102_aligned_C-001_1701964762670-1701965361670_duration=1s_pos=23261-23325_src=ishne.json
11.0779684748495,408.97329451934274,50.71630895638791,2.5161504840789384,36.917712713312824,16.7741935483871,3968,128,32,85.9375,140.625,8,62.35725510738606,0.21412691029986422,0.7858730897001358,29.032258064516128,23.79436034433078,0.003998714176282941,2.9803573251974944,2.0794415416798357,Isolated Supraventricular Beat/True/data20240102_aligned_R-002_1700509822428-1700509961428_duration=1s_pos=8128-8192_src=ishne.json
