cohort,event,mean_motion_mg,std_motion_mg,max_motion_mg,dynamic_range_mv,flat_pct,clip_pct,baseline_drift,hf_noise_ratio,snr_proxy,kurt,rr_cv,pct_physiologic_hr,mean_hr_bpm,sqi_score_ecg,sqi_score_amb
TP,Atrial Fibrillation,0.231027764113196,0.8274181491195841,6.677859764562014,5.119,0.0,0.0,0.034390504708483594,0.0005419258204066694,0.5826565934339247,5.805005222546042,0.3725522839117378,98.24561403508771,121.9047619047619,0.6919874340980403,0.6903887510010993
TP,Atrial Fibrillation,0.32352592780616957,0.8658682282807396,7.084919317932542,17.647,0.0,0.0,0.5874239079128866,2.1948461001812205e-05,2.0818324271488304,11.689010463409232,0.14760079507031526,98.61111111111111,139.63636363636363,0.8780696101702218,0.8752288273171346
TP,Atrial Fibrillation,0.30226297096631244,0.8733394379779417,7.0394221280100595,14.796,0.0,0.0,0.1805042972045778,3.493745867149579e-05,2.5910784667023155,14.005366895424554,0.15154767096154775,100.0,137.14285714285714,0.9094466259781102,0.9066977055870759
TP,Atrial Fibrillation,0.2882796402235784,0.7940276116580942,7.098886962637893,10.298,0.0,0.0,0.1285680960717819,6.086124159374575e-05,6.1469230004492905,8.927154048897698,0.1864507137936921,100.0,131.291642314436,0.9741060535117527,0.9712979040852929
TP,Atrial Fibrillation,0.1821233989794021,0.6496025196611394,5.3027360238077605,4.498,0.0,0.0,0.002665199478190148,0.00012770443526962083,3.9176802806304534,7.604177258014081,0.2379948477619617,98.57142857142858,144.9056603773585,0.9208895936248103,0.9192124381960531
TP,Atrial Fibrillation,0.3992299896744054,0.7366119029149004,6.363155059413448,2.072,0.0,0.0,0.004354716082967521,2.4096344870431594e-05,2.063675418363216,3.7031073569123247,0.27073168479289195,100.0,129.1577162238553,0.784534396041038,0.7814022994527312
TP,Atrial Fibrillation,0.32806279086922724,0.8784398965195102,7.243805575691061,16.006,0.0,0.0,0.012533273132464584,2.8086268580388617e-05,2.326341188283897,13.369547014933378,0.14498337284844404,100.0,138.38961038961037,0.8950257002947646,0.8920894540033807
TP,Atrial Fibrillation,0.39561950984118105,0.804439069085686,6.450459617531072,10.146999999999998,0.0,0.0,0.004075743878432769,0.00029781218605688745,1.1278517315736465,20.905434951191765,0.12573012722591892,100.0,76.8,0.8077556860045672,0.8045600469188816
TP,Atrial Fibrillation,0.36909447598126494,0.762015435206543,6.180070073631192,10.012,0.0,0.0,0.008887792953208032,0.0003815819852646622,1.245258323976292,13.578847186909648,0.19616932712051124,100.0,103.78378378378379,0.8178348056540141,0.814816222563693
TP,Atrial Fibrillation,0.3680113362961629,0.8309996152464546,6.915437889677349,1.37,0.0,0.0,0.0005966158832900311,2.152317139805811e-05,6.600144014393864,5.2011735260193745,0.22241459478454376,100.0,139.63636363636363,0.9207412320613376,0.917352799949399
TP,Atrial Fibrillation,0.1914399138919163,0.9238753839177185,7.447529673803757,2.425,0.0,0.0,0.03893528983206724,5.310819201582067e-05,1.925367000607418,9.060363971508824,0.17872506744552555,100.0,45.714285714285715,0.8557403889985419,0.8541021603347048
TP,Atrial Fibrillation,0.4545251878506516,0.7363022192623775,5.586047747783128,8.746,0.0,0.0,0.01358815823126735,0.00018985281934811834,0.32764985110990913,12.212911711497936,0.46523320825354036,80.64516129032258,56.888888888888886,0.7036030691256991,0.7004050159540326
TP,Atrial Fibrillation,0.2623257168026464,0.819605908586622,6.653091816757682,7.379,0.0,0.0,0.005762532609211019,9.47864564525438e-05,3.848158112512721,15.478054324071145,0.3371957734522326,100.0,106.66666666666667,0.9571623285528263,0.9546514456134852
TP,Atrial Fibrillation,0.33384433349228354,0.8877863010538353,7.557514790951759,16.849999999999998,0.0,0.07560483870967742,0.010569111971849841,1.835111151422364e-05,2.3133095165983453,12.222578692172144,0.14046207143737197,100.0,144.9056603773585,0.8941199306615273,0.8911349619383886
TP,Atrial Fibrillation,0.4909981259471763,0.8868322474500707,7.4251744827436195,8.417,0.0,0.0,0.010226969355624652,0.00026825652931226923,2.1315617494742463,7.907504982609405,0.2231387900005974,100.0,105.20547945205479,0.8519135266701484,0.8477306472195075
TP,Atrial Fibrillation,0.13512090293732046,0.5967869650199873,4.865743360580821,4.67,0.0,0.0,0.021662093618893798,0.000215107450081625,1.8299918680046332,23.538059202696196,0.2613968552070485,100.0,67.1062271062271,0.8632375572231727,0.8620711428413587
TP,Atrial Fibrillation,0.1647793470214442,0.6084074125130862,4.890768641740696,6.704000000000001,0.0,0.0,0.09382963504664532,0.00010244819858549242,1.0230232918674464,6.393960902622441,0.3170515448237898,100.0,97.21518987341773,0.7444224498135106,0.7431957953616268
TP,Atrial Fibrillation,0.3140110890199032,0.8249726411822306,6.791182220215436,11.291,0.0,0.0,0.13121348067724525,0.00036589685198388003,1.2283802142635742,13.244683158454517,0.21597418567717994,100.0,99.10089910089911,0.8164042410033318,0.8138406411553525
TP,Atrial Fibrillation,0.14402656479783327,0.5991155614976321,4.815948439819512,5.08,0.0,0.0,0.02558531494144629,0.000221825850408124,1.6140579833774766,19.11233727712273,0.29866167410650263,100.0,69.81818181818181,0.8474461623752081,0.846225614779028
TP,Atrial Fibrillation,0.5379730807083645,0.8659616024780379,7.036722858312645,6.74,0.0,0.0,0.015402438582011261,0.0001773900611175189,0.9475061338571537,5.234778519820429,0.36989355786163436,100.0,94.81481481481481,0.7202426004615025,0.7163678891552256
TP,Atrial Fibrillation,0.2936581623690424,0.7306828458080783,6.075492648005389,4.363,0.0,0.0,0.0052303015976902165,3.77209610551318e-05,0.8065614012543016,12.573773321068625,0.24986841061429615,100.0,57.744360902255636,0.7787673917882221,0.7764804777763675
TP,Atrial Fibrillation,0.4674874644795684,0.6847194399741294,5.633780545206463,4.894,0.0,0.0,0.004758620520561418,0.00013872330293705656,3.405479206793225,13.872234527876824,0.2041136010580524,100.0,110.50931677018633,0.9438333386764466,0.9394210361325552
TP,Atrial Fibrillation,0.6706862782353431,0.6979200274816656,5.482636912936881,7.425,0.0,0.0,0.007558120892975714,6.64316357838227e-05,3.2187482128785523,19.27418329523301,0.1665054740417979,100.0,98.46153846153847,0.9371671981205144,0.9308817463185974
TP,Atrial Fibrillation,0.24967365203043884,0.6623621344876701,5.359922040526299,13.934000000000001,0.0,0.0,0.09460255073202296,4.7265661639116476e-05,0.5039539475599808,13.100764408876994,0.32023672333586406,94.11764705882352,152.09411764705882,0.7411031223544944,0.7392527831236003
TP,Atrial Fibrillation,0.45279283357293026,0.7095690289752419,6.026549790260497,2.8770000000000002,0.0,0.0,0.06424001396280449,3.407978363124238e-05,1.809100872103451,11.203466481114678,0.16099462906731504,100.0,108.16901408450704,0.861761412585754,0.8578594186670688
TP,Atrial Fibrillation,0.19134902397423942,0.7076596336167844,5.640639476336334,16.718,0.0,0.0,0.06757553657560988,8.580777133086784e-05,1.3821079642775767,9.682474806550628,0.2545701551447588,100.0,96.0,0.8244341384872294,0.8228565918099235
TP,Atrial Fibrillation,0.3132472797349778,0.9332854309018115,7.542299061004794,8.001999999999999,0.0,0.0,0.08675532190958812,5.6920092670262845e-05,1.3070520528705007,8.096485977226376,0.2716650062140604,100.0,102.4,0.7944654564113965,0.7919768149807538
TP,Atrial Fibrillation,0.5531256666050529,0.7756344691190895,6.000220098740419,4.799,0.0,0.0,0.08636519659024784,0.00014137420546601878,2.2535403900556346,12.89628271988141,0.15111390010678039,100.0,49.23076923076923,0.8907557420654557,0.8858287434293334
TP,Atrial Fibrillation,0.3526936117363902,0.7217921849269152,5.735007622410204,1.9809999999999999,0.0,0.0,0.02086156226806533,1.1733390799011539e-05,1.014961719006032,2.9150840358562773,0.22324786684272468,100.0,81.29032258064515,0.6915194350445005,0.6890804901731831
TP,Atrial Fibrillation,0.3432041127849052,0.8275863190253899,6.817794275683258,2.4050000000000002,0.0,0.0,0.005775905934071369,0.0002804215629907617,1.2446779973728241,8.812787436342548,0.15196719555146146,96.29629629629629,54.857142857142854,0.7944219784310702,0.7916954895282275
TP,Atrial Fibrillation,0.3699269917428312,0.7282513076835022,5.963363885366807,10.335,0.0,0.0,0.2223598453828635,0.0003642575041526388,1.2777553418409355,13.097526291088617,0.23367137760549134,100.0,105.20547945205479,0.8205713986052564,0.8175358835152939
TP,Atrial Fibrillation,0.2627060858117584,0.8523644458291545,7.067532213873032,4.859999999999999,0.0,0.0,0.0016584371590438682,0.00042040108235107885,2.8069897059650843,38.397415538528946,0.3129678915191975,100.0,111.30434782608695,0.9199670119460914,0.9175502026182485
TP,Atrial Fibrillation,0.6556774169608258,0.7821604567932033,6.301008880264674,3.548,0.0,0.0,0.007714372715570565,0.00022577728982019205,5.435490145916491,11.283826671732012,0.14958075877911653,100.0,116.36363636363636,0.9844052462485273,0.9779507233574982
TP,Atrial Fibrillation,0.16284247525867274,0.6142507527864755,4.920740486800235,4.7170000000000005,0.0,0.0,0.01619587335961298,0.00021192399821559564,1.8567682830649235,20.293924651814674,0.25163668499979863,100.0,72.7978436657682,0.8651132641376356,0.8637044922845227
TP,Atrial Fibrillation,0.26184323503622015,0.7840658670699839,6.556216825448748,0.9339999999999999,0.0,0.0,0.021637214329716017,0.0003638948631505186,1.6712833058888703,9.215838485855823,0.3548785719561814,98.27586206896551,119.07692307692308,0.8373969032060037,0.835204236064556
TP,Atrial Fibrillation,0.48762284591777805,0.7992789575553266,6.8326156537124145,7.335,0.0,0.0,0.01200745078877133,0.00017352702310766127,0.9315882892533207,4.213265912960942,0.2591586701725272,100.0,97.21518987341773,0.703474587483327,0.7000442846795325
TP,Atrial Fibrillation,0.5804246022908814,0.8855484539456678,7.823443360331454,3.241,0.0,0.0,0.019049596866238982,5.6048789733704175e-05,4.588150447048878,7.3252491712744465,0.2342120043748361,100.0,123.87096774193549,0.9329744471122177,0.927559233888091
TP,Atrial Fibrillation,0.5780365295745504,0.7526914392091716,6.161873771818545,3.026,0.0,0.0,0.08690489294167249,0.00021739046652670055,3.7870710182869907,9.3423540560466,0.18689323720088136,100.0,83.47826086956522,0.9456490939394275,0.9401828967348669
TP,Atrial Fibrillation,0.3943092978963288,0.8015647933551036,6.2332201478695115,3.532,0.0,0.0,0.010581111109009911,0.0006952423979204001,3.1527736244427023,18.030981767705185,0.265843023410296,98.64864864864865,170.66666666666666,0.9326226349820244,0.9289452172180045
TP,Atrial Fibrillation,0.46302476713846474,0.8649753507959861,7.256210422506619,4.125,0.0,0.0,0.018174314716129035,0.0001720392200860994,0.5172224341265298,9.536241877857282,0.3542156573169129,98.38709677419355,126.95081967213115,0.7418400676132744,0.7384051643676681
TP,Atrial Fibrillation,0.42249208283770034,0.7404310749566172,6.128537219247767,12.514,0.0,0.0,0.1262087788174338,0.0003670425348460306,1.3204666176593132,13.208132196923753,0.22242584118203462,100.0,100.39644565960356,0.8241320080248453,0.820650115538809
TP,Atrial Fibrillation,0.29011592078455556,0.6883492753117707,5.736982124058982,8.647,0.0,0.0,0.158754040398132,8.869710173862017e-05,1.3310192809561192,8.204453421177458,0.22869736384992415,100.0,96.06003752345217,0.7980721305241768,0.7957567962141817
TP,Atrial Fibrillation,0.2550992007507741,0.8668412939520391,7.061026360361413,8.308,0.0,0.0,0.026174643421447878,2.7293984387349908e-05,5.528894841764838,11.13908431892556,0.16813672049099254,100.0,113.784021071115,0.9853236830310921,0.9828101301908717
TP,Atrial Fibrillation,0.2701780277666667,0.6492705519213748,5.121570645909073,7.426,0.0,0.0,0.008590496316166544,0.00010183749452225025,1.449489944249793,8.2372102873639,0.22921390964784388,100.0,103.78378378378379,0.8081901814980929,0.8060066292051175
TP,Atrial Fibrillation,0.3348842232077689,0.9745009868325156,7.917481568351984,10.535,0.0,0.0,0.08594658009105462,0.00012356127674360539,1.3603337250445744,23.219815244258278,0.15327995539745817,100.0,67.98589894242068,0.8274178990356238,0.8246470070317563
TP,Atrial Fibrillation,0.31175809489748235,0.8749327832030499,7.233003445195589,15.261,0.0,0.0,0.026298531364562262,3.4128755880474805e-05,2.529163595997857,13.446955400732705,0.15927038487237805,100.0,142.22222222222223,0.9062270669968269,0.9034018307573122
TP,Atrial Fibrillation,0.4571667736560172,0.6921403432650288,5.865827075521111,3.437,0.0,0.0,0.01904227990867087,4.302938845104984e-05,1.8686620309420932,10.259067957376907,0.20677618833963657,100.0,113.784021071115,0.865940549447775,0.8619817569760855
