window_id,t_start_s,t_end_s,activity,motion_mg,p_2,p_4,p_5,p_6,p_93,p_98,p_142,detections
3B8D_w0216,2193.0,2203.0,run,4.89,0.007,0.1,0.605,0.712,0.088,0.132,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0217,2203.0,2213.0,run,4.99,0.005,0.122,0.64,0.593,0.045,0.101,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0218,2213.0,2223.0,run,4.93,0.004,0.153,0.856,0.759,0.08,0.12,0.013,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0219,2223.0,2233.0,run,4.78,0.004,0.141,0.793,0.834,0.15,0.222,0.009,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0220,2233.0,2243.0,run,5.01,0.002,0.14,0.963,0.688,0.115,0.193,0.009,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0221,2243.0,2253.0,run,4.98,0.006,0.181,0.69,0.594,0.041,0.177,0.009,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0222,2253.0,2263.0,run,4.85,0.006,0.116,0.626,0.86,0.087,0.202,0.007,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0223,2263.0,2273.0,run,4.59,0.001,0.054,0.73,0.92,0.259,0.412,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0224,2273.0,2283.0,run,4.91,0.007,0.133,0.529,0.776,0.126,0.269,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0225,2283.0,2293.0,run,4.95,0.001,0.086,0.779,0.912,0.315,0.539,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0226,2293.0,2303.0,run,4.85,0.004,0.137,0.855,0.767,0.102,0.24,0.012,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0227,2303.0,2313.0,run,5.06,0.002,0.1,0.657,0.744,0.116,0.271,0.007,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0228,2313.0,2323.0,run,5.18,0.008,0.114,0.687,0.862,0.207,0.363,0.013,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0229,2323.0,2333.0,run,5.05,0.003,0.128,0.802,0.769,0.113,0.299,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0230,2333.0,2343.0,run,5.16,0.003,0.121,0.797,0.869,0.155,0.29,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0231,2343.0,2353.0,run,5.01,0.006,0.09,0.719,0.744,0.154,0.347,0.005,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0232,2353.0,2363.0,run,4.88,0.004,0.105,0.728,0.679,0.149,0.284,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0233,2363.0,2373.0,run,4.97,0.001,0.08,0.679,0.948,0.235,0.55,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0234,2373.0,2383.0,run,5.04,0.002,0.111,0.705,0.93,0.335,0.538,0.005,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0235,2383.0,2393.0,run,5.11,0.003,0.105,0.701,0.853,0.16,0.335,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0236,2393.0,2403.0,run,5.23,0.002,0.092,0.639,0.956,0.237,0.382,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0237,2403.0,2413.0,run,5.03,0.003,0.102,0.667,0.909,0.269,0.461,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0238,2413.0,2423.0,run,5.19,0.003,0.076,0.742,0.791,0.202,0.284,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0239,2423.0,2433.0,run,5.11,0.005,0.077,0.597,0.936,0.288,0.493,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0240,2433.0,2443.0,run,5.11,0.003,0.057,0.637,0.917,0.293,0.533,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0241,2443.0,2453.0,run,5.02,0.004,0.085,0.739,0.801,0.171,0.296,0.005,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0242,2453.0,2463.0,run,5.03,0.003,0.095,0.681,0.889,0.276,0.472,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0243,2463.0,2473.0,run,5.25,0.003,0.071,0.497,0.987,0.422,0.684,0.001,Sinus Tachycardia; Ventricular Run
3B8D_w0244,2473.0,2483.0,run,5.11,0.003,0.095,0.624,0.878,0.209,0.421,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0245,2483.0,2493.0,run,5.05,0.002,0.08,0.736,0.963,0.296,0.523,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0246,2493.0,2503.0,run,5.08,0.005,0.064,0.595,0.951,0.272,0.548,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0247,2503.0,2513.0,run,5.12,0.005,0.09,0.676,0.903,0.274,0.466,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0248,2513.0,2523.0,run,5.17,0.005,0.095,0.571,0.874,0.268,0.504,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0249,2523.0,2533.0,run,5.18,0.002,0.094,0.756,0.87,0.127,0.288,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0250,2533.0,2543.0,run,5.32,0.002,0.061,0.667,0.982,0.358,0.622,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0251,2543.0,2553.0,run,5.53,0.009,0.097,0.473,0.753,0.15,0.266,0.003,Sinus Tachycardia
3B8D_w0252,2553.0,2563.0,run,5.08,0.005,0.086,0.734,0.875,0.27,0.444,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0253,2563.0,2573.0,run,5.15,0.002,0.047,0.723,0.943,0.32,0.452,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0254,2573.0,2583.0,run,5.17,0.009,0.081,0.604,0.76,0.153,0.345,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0255,2583.0,2593.0,run,4.94,0.001,0.072,0.7,0.979,0.447,0.713,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0256,2593.0,2603.0,run,5.12,0.003,0.086,0.741,0.792,0.197,0.302,0.005,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0257,2603.0,2613.0,run,5.52,0.003,0.089,0.614,0.971,0.389,0.616,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0258,2613.0,2623.0,run,5.03,0.004,0.082,0.87,0.861,0.129,0.311,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0259,2623.0,2633.0,run,5.2,0.005,0.08,0.765,0.799,0.22,0.331,0.01,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0260,2633.0,2643.0,run,5.14,0.001,0.059,0.537,0.987,0.409,0.747,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0261,2643.0,2653.0,run,5.26,0.003,0.114,0.785,0.809,0.13,0.37,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0262,2653.0,2663.0,run,5.41,0.005,0.065,0.68,0.946,0.262,0.429,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0263,2663.0,2673.0,run,5.33,0.002,0.064,0.645,0.98,0.344,0.681,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0264,2673.0,2683.0,run,5.34,0.002,0.06,0.524,0.986,0.404,0.637,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0265,2683.0,2693.0,run,5.37,0.004,0.092,0.746,0.93,0.293,0.491,0.009,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0266,2693.0,2703.0,run,5.4,0.004,0.078,0.57,0.92,0.325,0.592,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0267,2703.0,2713.0,run,5.41,0.006,0.064,0.732,0.88,0.151,0.29,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0268,2713.0,2723.0,run,5.57,0.002,0.049,0.627,0.987,0.394,0.612,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0269,2723.0,2733.0,run,5.26,0.005,0.09,0.72,0.932,0.251,0.536,0.007,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0270,2733.0,2743.0,run,1.59,0.0,0.034,0.068,0.535,0.017,0.059,0.0,Sinus Tachycardia
3B8D_w0271,2743.0,2753.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0272,2753.0,2763.0,run,4.45,0.01,0.085,0.5,0.376,0.097,0.266,0.004,-
3B8D_w0273,2763.0,2773.0,run,4.89,0.006,0.05,0.608,0.812,0.099,0.216,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0274,2773.0,2783.0,run,5.23,0.002,0.074,0.627,0.968,0.39,0.585,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0275,2783.0,2793.0,run,5.22,0.004,0.081,0.529,0.846,0.277,0.433,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0276,2793.0,2803.0,run,5.29,0.002,0.071,0.702,0.93,0.344,0.56,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0277,2803.0,2813.0,run,4.82,0.003,0.059,0.548,0.965,0.223,0.439,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0278,2813.0,2823.0,run,4.82,0.003,0.089,0.761,0.895,0.262,0.403,0.007,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0279,2823.0,2833.0,run,4.96,0.001,0.044,0.644,0.984,0.361,0.543,0.001,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0280,2833.0,2843.0,run,4.75,0.003,0.044,0.395,0.99,0.28,0.555,0.002,Sinus Tachycardia; Ventricular Run
3B8D_w0281,2843.0,2853.0,run,4.75,0.003,0.083,0.783,0.823,0.173,0.259,0.005,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0282,2853.0,2863.0,run,4.82,0.001,0.074,0.668,0.955,0.296,0.513,0.007,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0283,2863.0,2873.0,run,4.72,0.004,0.086,0.704,0.923,0.455,0.6,0.005,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0284,2873.0,2883.0,run,4.91,0.002,0.104,0.665,0.891,0.244,0.391,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0285,2883.0,2893.0,run,4.97,0.003,0.067,0.587,0.938,0.32,0.445,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0286,2893.0,2903.0,run,4.86,0.002,0.065,0.583,0.975,0.47,0.69,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0287,2903.0,2913.0,run,4.93,0.004,0.105,0.778,0.892,0.228,0.366,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0288,2913.0,2923.0,run,5.14,0.004,0.062,0.583,0.866,0.135,0.2,0.005,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0289,2923.0,2933.0,run,4.95,0.002,0.129,0.653,0.932,0.38,0.556,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0290,2933.0,2943.0,run,4.84,0.005,0.077,0.41,0.914,0.281,0.412,0.002,Sinus Tachycardia
3B8D_w0291,2943.0,2953.0,run,5.07,0.001,0.1,0.781,0.848,0.308,0.495,0.008,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0292,2953.0,2963.0,run,4.79,0.001,0.035,0.61,0.985,0.376,0.572,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0293,2963.0,2973.0,run,5.05,0.002,0.041,0.359,0.991,0.39,0.55,0.002,Sinus Tachycardia; Ventricular Run
3B8D_w0294,2973.0,2983.0,run,4.68,0.012,0.117,0.625,0.904,0.215,0.373,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0295,2983.0,2993.0,run,5.49,0.003,0.114,0.719,0.809,0.263,0.415,0.009,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0296,2993.0,3003.0,run,4.97,0.001,0.069,0.562,0.98,0.439,0.68,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0297,3003.0,3013.0,run,4.96,0.001,0.081,0.532,0.953,0.583,0.762,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Supraventricular Run; Ventricular Run
3B8D_w0298,3013.0,3023.0,run,5.02,0.001,0.064,0.687,0.959,0.64,0.81,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Supraventricular Run; Ventricular Run
3B8D_w0299,3023.0,3033.0,run,5.21,0.001,0.08,0.62,0.941,0.521,0.69,0.005,Atrial Fibrillation(suppressed); Sinus Tachycardia; Supraventricular Run; Ventricular Run
3B8D_w0300,3033.0,3043.0,run,5.06,0.001,0.052,0.682,0.975,0.277,0.512,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0301,3043.0,3053.0,run,4.9,0.003,0.034,0.618,0.981,0.384,0.503,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0302,3053.0,3063.0,run,4.92,0.006,0.113,0.613,0.649,0.214,0.346,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0303,3063.0,3073.0,run,5.39,0.001,0.076,0.563,0.974,0.509,0.741,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Supraventricular Run; Ventricular Run
3B8D_w0304,3073.0,3083.0,run,4.91,0.001,0.076,0.522,0.972,0.39,0.638,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0305,3083.0,3093.0,run,5.11,0.001,0.087,0.523,0.97,0.461,0.611,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0306,3093.0,3103.0,run,5.1,0.002,0.113,0.804,0.892,0.308,0.518,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0307,3103.0,3113.0,run,4.7,0.002,0.12,0.72,0.911,0.214,0.404,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0308,3113.0,3123.0,run,4.69,0.004,0.066,0.733,0.911,0.47,0.592,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0309,3123.0,3133.0,run,4.49,0.002,0.052,0.595,0.987,0.407,0.638,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0310,3133.0,3143.0,run,4.33,0.004,0.049,0.513,0.966,0.402,0.581,0.001,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0311,3143.0,3153.0,run,4.3,0.007,0.106,0.72,0.785,0.179,0.242,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0312,3153.0,3163.0,run,4.44,0.004,0.059,0.718,0.921,0.335,0.448,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0313,3163.0,3173.0,run,2.68,0.002,0.055,0.662,0.982,0.439,0.578,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0314,3173.0,3183.0,walk_after,0.89,0.003,0.04,0.151,0.979,0.639,0.6,0.001,Sinus Tachycardia; Supraventricular Run; Ventricular Run
3B8D_w0315,3183.0,3193.0,walk_after,0.98,0.008,0.044,0.597,0.959,0.394,0.371,0.003,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0316,3193.0,3203.0,walk_after,0.92,0.004,0.068,0.829,0.876,0.322,0.319,0.008,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0317,3203.0,3213.0,walk_after,0.98,0.003,0.047,0.814,0.966,0.348,0.271,0.003,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0318,3213.0,3223.0,walk_after,1.04,0.003,0.046,0.656,0.965,0.429,0.471,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0319,3223.0,3233.0,walk_after,0.98,0.034,0.068,0.428,0.951,0.235,0.2,0.005,Sinus Tachycardia
3B8D_w0320,3233.0,3243.0,walk_after,0.94,0.015,0.063,0.604,0.923,0.231,0.295,0.005,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0321,3243.0,3253.0,walk_after,0.84,0.004,0.109,0.844,0.79,0.136,0.161,0.007,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0322,3253.0,3263.0,walk_after,1.03,0.006,0.081,0.623,0.941,0.24,0.307,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0323,3263.0,3273.0,walk_after,0.79,0.009,0.085,0.854,0.817,0.117,0.128,0.004,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0324,3273.0,3283.0,walk_after,0.83,0.005,0.167,0.928,0.585,0.076,0.082,0.011,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0325,3283.0,3293.0,walk_after,0.85,0.005,0.067,0.485,0.987,0.386,0.42,0.002,Sinus Tachycardia
3B8D_w0326,3293.0,3303.0,walk_after,0.87,0.004,0.116,0.899,0.333,0.092,0.11,0.015,Atrial Fibrillation
3B8D_w0327,3303.0,3313.0,walk_after,1.01,0.003,0.098,0.942,0.74,0.089,0.148,0.005,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0328,3313.0,3323.0,walk_after,0.91,0.004,0.095,0.846,0.803,0.074,0.079,0.007,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0329,3323.0,3333.0,walk_after,0.82,0.006,0.124,0.768,0.821,0.134,0.206,0.016,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0330,3333.0,3343.0,walk_after,0.83,0.009,0.082,0.507,0.969,0.234,0.309,0.003,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0331,3343.0,3353.0,walk_after,0.84,0.003,0.117,0.931,0.404,0.066,0.089,0.011,Atrial Fibrillation
3B8D_w0332,3353.0,3363.0,walk_after,0.88,0.005,0.095,0.895,0.881,0.138,0.19,0.006,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0333,3363.0,3373.0,walk_after,0.84,0.005,0.084,0.892,0.858,0.134,0.222,0.008,Atrial Fibrillation; Sinus Tachycardia
3B8D_w0334,3373.0,3383.0,walk_after,1.05,0.007,0.1,0.374,0.983,0.408,0.512,0.002,Sinus Tachycardia; Ventricular Run
3B8D_w0335,3383.0,3393.0,walk_after,0.81,0.012,0.044,0.128,0.971,0.359,0.356,0.001,Sinus Tachycardia
3B8D_w0336,3393.0,3403.0,walk_after,0.77,0.025,0.033,0.114,0.961,0.197,0.164,0.002,Sinus Tachycardia
3B8D_w0337,3403.0,3413.0,walk_after,0.92,0.009,0.054,0.133,0.977,0.216,0.273,0.001,Sinus Tachycardia
3B8D_w0338,3413.0,3423.0,walk_after,0.86,0.016,0.027,0.128,0.986,0.088,0.078,0.002,Sinus Tachycardia
3B8D_w0339,3423.0,3433.0,walk_after,0.77,0.015,0.031,0.116,0.989,0.077,0.08,0.001,Sinus Tachycardia
3B8D_w0340,3433.0,3443.0,walk_after,0.82,0.017,0.035,0.093,0.99,0.099,0.081,0.001,Sinus Tachycardia
3B8D_w0341,3443.0,3453.0,walk_after,0.75,0.009,0.045,0.143,0.98,0.11,0.102,0.001,Sinus Tachycardia
3B8D_w0342,3453.0,3463.0,walk_after,0.72,0.016,0.054,0.098,0.976,0.079,0.057,0.002,Sinus Tachycardia
3B8D_w0343,3463.0,3473.0,walk_after,0.75,0.015,0.038,0.105,0.984,0.124,0.105,0.001,Sinus Tachycardia
3B8D_w0344,3473.0,3483.0,walk_after,0.74,0.011,0.056,0.169,0.961,0.226,0.286,0.002,Sinus Tachycardia
3B8D_w0345,3483.0,3493.0,walk_after,0.69,0.015,0.047,0.153,0.963,0.228,0.231,0.001,Sinus Tachycardia
3B8D_w0346,3493.0,3500.0,walk_after,0.87,0.01,0.023,0.163,0.982,0.164,0.129,0.001,Sinus Tachycardia
