window_id,t_start_s,t_end_s,activity,motion_mg,p_2,p_4,p_5,p_6,p_93,p_98,p_142,detections
3B8D_w0049,523.0,533.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0050,533.0,543.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0051,543.0,553.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0052,553.0,563.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0053,563.0,573.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0054,573.0,583.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0055,583.0,593.0,baseline,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0056,593.0,603.0,baseline,0.7,0.02,0.147,0.171,0.25,0.085,0.112,0.003,-
3B8D_w0057,603.0,613.0,lift,0.69,0.002,0.086,0.232,0.025,0.038,0.039,0.004,-
3B8D_w0058,613.0,623.0,lift,0.72,0.008,0.046,0.073,0.038,0.019,0.02,0.002,-
3B8D_w0059,623.0,633.0,lift,0.73,0.007,0.04,0.077,0.047,0.02,0.018,0.002,-
3B8D_w0060,633.0,643.0,lift,0.73,0.004,0.044,0.09,0.08,0.026,0.023,0.003,-
3B8D_w0061,643.0,653.0,lift,0.77,0.007,0.059,0.098,0.946,0.041,0.041,0.003,Sinus Tachycardia
3B8D_w0062,653.0,663.0,lift,1.2,0.003,0.017,0.079,0.997,0.04,0.027,0.001,Sinus Tachycardia
3B8D_w0063,663.0,673.0,lift,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0064,673.0,683.0,lift,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0065,683.0,693.0,lift,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0066,693.0,703.0,lift,1.18,0.005,0.04,0.116,0.992,0.055,0.047,0.004,Sinus Tachycardia
3B8D_w0067,703.0,713.0,greetings,0.76,0.008,0.037,0.085,0.081,0.026,0.021,0.001,-
3B8D_w0068,713.0,723.0,greetings,0.8,0.009,0.06,0.075,0.055,0.021,0.021,0.002,-
3B8D_w0069,723.0,733.0,greetings,0.75,0.009,0.045,0.082,0.047,0.021,0.026,0.001,-
3B8D_w0070,733.0,743.0,greetings,0.74,0.012,0.035,0.071,0.032,0.014,0.018,0.001,-
3B8D_w0071,743.0,753.0,greetings,0.73,0.024,0.133,0.252,0.17,0.053,0.064,0.002,-
3B8D_w0072,753.0,763.0,greetings,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0073,763.0,773.0,greetings,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0074,773.0,783.0,greetings,0.64,0.027,0.246,0.114,0.36,0.058,0.125,0.002,-
3B8D_w0075,783.0,793.0,gesticulate,0.76,0.009,0.025,0.082,0.031,0.015,0.016,0.001,-
3B8D_w0076,793.0,803.0,gesticulate,0.75,0.007,0.034,0.094,0.038,0.019,0.019,0.001,-
