label,head,episodes,burden_s,burden_pct,longest_s,windows_fired_raw,windows_fired_after_fp
Bradycardia,4,0,0.0,0.0,0.0,6,0
Atrial Fibrillation,5,12,220.0,5.8,40.0,90,20
Sinus Tachycardia,6,11,1520.0,40.4,490.0,147,147
Supraventricular Run,93,3,890.0,23.6,490.0,88,88
Ventricular Run,98,5,1040.0,27.6,490.0,102,102
Pause,142,0,0.0,0.0,0.0,0,0
