window_id,t_start_s,t_end_s,activity,motion_mg,p_4,p_5,p_6,p_93,p_98,p_142,detections
4JF9_w0348,3692.0,3702.0,run,0.76,0.218,0.727,0.473,0.064,0.145,0.01,Atrial Fibrillation
4JF9_w0349,3702.0,3712.0,run,1.18,0.166,0.882,0.793,0.099,0.161,0.01,Atrial Fibrillation(suppressed); Sinus Tachycardia
4JF9_w0350,3712.0,3722.0,run,1.3,0.328,0.702,0.307,0.058,0.087,0.006,Atrial Fibrillation(suppressed)
4JF9_w0351,3722.0,3732.0,run,1.2,0.098,0.971,0.499,0.03,0.094,0.014,Atrial Fibrillation(suppressed)
4JF9_w0352,3732.0,3742.0,run,1.29,0.206,0.935,0.284,0.038,0.087,0.009,Atrial Fibrillation(suppressed)
4JF9_w0353,3742.0,3752.0,run,1.34,0.096,0.963,0.146,0.027,0.097,0.006,Atrial Fibrillation(suppressed)
4JF9_w0354,3752.0,3762.0,run,1.29,0.929,0.508,0.202,0.043,0.045,0.015,Bradycardia(suppressed); Atrial Fibrillation(suppressed)
4JF9_w0355,3762.0,3772.0,run,1.32,0.258,0.846,0.24,0.047,0.042,0.013,Atrial Fibrillation(suppressed)
4JF9_w0356,3772.0,3782.0,run,0.92,0.258,0.351,0.302,0.044,0.074,0.003,-
4JF9_w0357,3782.0,3792.0,run,0.77,0.268,0.754,0.311,0.056,0.107,0.026,Atrial Fibrillation
4JF9_w0358,3792.0,3802.0,run,0.86,0.247,0.44,0.36,0.073,0.096,0.014,-
4JF9_w0359,3802.0,3812.0,run,1.22,0.123,0.692,0.677,0.09,0.115,0.014,Atrial Fibrillation(suppressed); Sinus Tachycardia
4JF9_w0360,3812.0,3822.0,run,1.3,0.115,0.942,0.796,0.081,0.09,0.009,Atrial Fibrillation(suppressed); Sinus Tachycardia
4JF9_w0361,3822.0,3832.0,run,1.44,0.143,0.653,0.707,0.317,0.305,0.01,Atrial Fibrillation(suppressed); Sinus Tachycardia
4JF9_w0362,3832.0,3842.0,run,1.31,0.162,0.71,0.71,0.207,0.231,0.011,Atrial Fibrillation(suppressed); Sinus Tachycardia
4JF9_w0363,3842.0,3852.0,run,1.36,0.238,0.697,0.664,0.109,0.114,0.033,Atrial Fibrillation(suppressed); Sinus Tachycardia
4JF9_w0364,3852.0,3862.0,run,1.22,0.176,0.65,0.577,0.09,0.087,0.024,Atrial Fibrillation(suppressed); Sinus Tachycardia
4JF9_w0365,3862.0,3872.0,run,1.24,0.133,0.686,0.84,0.134,0.142,0.009,Atrial Fibrillation(suppressed); Sinus Tachycardia
4JF9_w0366,3872.0,3882.0,run,1.43,0.154,0.531,0.27,0.046,0.063,0.009,Atrial Fibrillation(suppressed)
4JF9_w0367,3882.0,3892.0,run,1.42,0.123,0.913,0.314,0.052,0.066,0.009,Atrial Fibrillation(suppressed)
4JF9_w0368,3892.0,3902.0,run,1.5,0.106,0.947,0.323,0.073,0.07,0.012,Atrial Fibrillation(suppressed)
4JF9_w0369,3902.0,3912.0,run,1.49,0.229,0.41,0.438,0.054,0.076,0.011,-
4JF9_w0370,3912.0,3922.0,run,1.26,0.137,0.976,0.576,0.071,0.099,0.021,Atrial Fibrillation(suppressed); Sinus Tachycardia
4JF9_w0371,3922.0,3932.0,run,1.19,0.243,0.47,0.119,0.017,0.097,0.004,-
4JF9_w0372,3932.0,3942.0,run,1.25,0.225,0.804,0.237,0.102,0.15,0.013,Atrial Fibrillation(suppressed)
4JF9_w0373,3942.0,3952.0,run,1.23,0.145,0.88,0.113,0.029,0.073,0.008,Atrial Fibrillation(suppressed)
4JF9_w0374,3952.0,3962.0,run,1.15,0.157,0.811,0.812,0.079,0.105,0.017,Atrial Fibrillation(suppressed); Sinus Tachycardia
4JF9_w0375,3962.0,3972.0,run,1.17,0.045,0.558,0.052,0.015,0.045,0.0,Atrial Fibrillation(suppressed)
4JF9_w0376,3972.0,3979.0,run,1.03,0.106,0.954,0.094,0.025,0.039,0.005,Atrial Fibrillation(suppressed)
