event,head,n_pos,n_neg,TP,FP,FN,TN,sens,spec,ppv,npv,accuracy,f1,roc_auc,pr_auc
Atrial Fibrillation,5,500,500,487,0,13,500,0.974,1.0,1.0,0.975,0.987,0.987,0.995,0.996
Sinus Tachycardia,6,0,500,0,495,0,5,0.0,0.01,0.0,1.0,0.01,0.0,,
Bradycardia,4,500,500,459,9,41,491,0.918,0.982,0.981,0.923,0.95,0.948,0.952,0.97
Ventricular Run,98,500,500,0,0,500,500,0.0,1.0,0.0,0.5,0.5,0.0,0.36,0.392
Supraventricular Run,93,26,500,21,265,5,235,0.808,0.47,0.073,0.979,0.487,0.135,0.606,0.063
Pause,142,82,500,60,174,22,326,0.732,0.652,0.256,0.937,0.663,0.38,0.758,0.335
OVERALL (micro),-1,1608,2500,1027,448,581,2052,0.639,0.821,0.696,0.779,0.75,0.666,0.828,0.821
