event,n,4:SINUS BRADYCARDIA,5:ATRIAL FIBRILLATION,6:SINUS TACHYCARDIA,93:SUPRAVENTRICULAR TACHYCARDIA,98:VENTRICULAR TACHYCARDIA,142:WITH SINUS PAUSE,(none fired)
Atrial Fibrillation,500,0.8,0.0,53.0,77.2,0.6,47.0,11.6
Sinus Tachycardia,500,0.0,0.0,99.0,100.0,5.6,14.4,0.0
Bradycardia,500,1.8,0.0,41.6,54.6,0.0,32.6,34.8
Ventricular Run,500,1.8,0.0,34.0,62.4,0.0,43.2,25.6
Supraventricular Run,500,8.8,0.0,40.2,53.0,0.0,40.2,25.2
Pause,500,8.8,0.0,52.6,63.0,0.0,34.8,20.6
