event,n,4:SINUS BRADYCARDIA,5:ATRIAL FIBRILLATION,6:SINUS TACHYCARDIA,93:SUPRAVENTRICULAR TACHYCARDIA,98:VENTRICULAR TACHYCARDIA,142:WITH SINUS PAUSE,(none fired)
Atrial Fibrillation,500,3.8,97.4,34.4,62.0,0.0,78.0,0.4
Bradycardia,500,91.8,2.6,0.0,3.0,0.0,44.6,2.2
Ventricular Run,500,3.8,0.0,2.2,69.8,0.0,90.8,5.6
Supraventricular Run,26,3.8,3.8,23.1,80.8,0.0,96.2,0.0
Pause,82,48.8,0.0,8.5,47.6,0.0,73.2,3.7
