class,idx,mean_pred,std_pred,min_pred,max_pred,median_pred,pct_above_0.5,model
Atrial Fibrillation,5,0.8657950758934021,0.2610248029232025,0.08515537530183792,0.9899207353591919,0.9576219320297241,90.0,Base Model
Sinus Tachycardia,6,0.19247187674045563,0.18805113434791565,0.008876731619238853,0.9342914819717407,0.11227727681398392,9.466666666666667,Base Model
Isolated Ventricular Beat,9,0.14243577420711517,0.10049819946289062,0.049795087426900864,0.8643175363540649,0.11942102760076523,3.0666666666666664,Base Model
Isolated Supraventricular Beat,16,0.10505654662847519,0.06644969433546066,0.011972729116678238,0.5639011263847351,0.09044349193572998,0.13333333333333333,Base Model
Supraventricular Couplet,20,0.4340657591819763,0.23517830669879913,0.018033206462860107,0.8733739256858826,0.5037556886672974,51.6,Base Model
Prolonged RR Interval,81,0.047702137380838394,0.12632115185260773,0.0012727760476991534,0.4296359717845917,0.005613598041236401,0.0,Base Model
Ventricular Couplet,91,0.05013673007488251,0.13124841451644897,0.00017042514809872955,0.44598960876464844,0.00462101586163044,0.0,Base Model
Ventricular Run,99,0.01727684959769249,0.012296228669583797,0.0025237242225557566,0.05103396624326706,0.013027358800172806,0.0,Base Model
Pause,143,0.00984587986022234,0.005666455253958702,0.0012972294352948666,0.04038124158978462,0.009203854948282242,0.0,Base Model
