model,afib_mean,afib_std,afib_median,afib_detection_rate
Base Model,0.8657950758934021,0.2610248029232025,0.9576219320297241,90.0
Fine-tuned (AFIB),0.7732354402542114,0.27379798889160156,0.877832293510437,88.8
Fine-tuned (AFIB Fuzzy),0.7495266795158386,0.28665682673454285,0.860784649848938,86.8
