class,idx,mean_pred,std_pred,min_pred,max_pred,median_pred,pct_above_0.5,model
Atrial Fibrillation,5,0.7732354402542114,0.27379798889160156,0.0010643682908266783,0.9632846117019653,0.877832293510437,88.8,Fine-tuned (AFIB)
Sinus Tachycardia,6,0.15212059020996094,0.15458813309669495,0.004950235597789288,0.9032431840896606,0.08964274823665619,4.533333333333333,Fine-tuned (AFIB)
Isolated Ventricular Beat,9,0.18231719732284546,0.14000652730464935,0.05859052389860153,0.9677547812461853,0.14769911766052246,5.2,Fine-tuned (AFIB)
Isolated Supraventricular Beat,16,0.06825819611549377,0.0456685870885849,0.008955098688602448,0.46191737055778503,0.05908313766121864,0.0,Fine-tuned (AFIB)
Supraventricular Couplet,20,0.4694860875606537,0.270993709564209,0.00801090244203806,0.8858090043067932,0.5707519054412842,62.0,Fine-tuned (AFIB)
Prolonged RR Interval,81,0.027026161551475525,0.06624699383974075,0.0007839036406949162,0.22727350890636444,0.005011437460780144,0.0,Fine-tuned (AFIB)
Ventricular Couplet,91,0.017557715997099876,0.03986154496669769,0.0001430391421308741,0.1369103491306305,0.0030568172223865986,0.0,Fine-tuned (AFIB)
Ventricular Run,99,0.00966985709965229,0.005163124762475491,0.0016835032729431987,0.03307360038161278,0.00810319371521473,0.0,Fine-tuned (AFIB)
Pause,143,0.007007008884102106,0.0049772546626627445,0.0009725142735987902,0.04448419809341431,0.005888849962502718,0.0,Fine-tuned (AFIB)
