class,idx,mean_pred,std_pred,min_pred,max_pred,median_pred,pct_above_0.5,model
Atrial Fibrillation,5,0.7495266795158386,0.28665682673454285,0.00013508355186786503,0.9919887185096741,0.860784649848938,86.8,Fine-tuned (AFIB Fuzzy)
Sinus Tachycardia,6,0.11833085864782333,0.13761945068836212,0.0013679014518857002,0.905497133731842,0.06901311874389648,3.2,Fine-tuned (AFIB Fuzzy)
Isolated Ventricular Beat,9,0.23607870936393738,0.16690030694007874,0.06582493335008621,0.9939001798629761,0.18798869848251343,9.066666666666666,Fine-tuned (AFIB Fuzzy)
Isolated Supraventricular Beat,16,0.07695631682872772,0.04886791110038757,0.012775011360645294,0.43790706992149353,0.06882867217063904,0.0,Fine-tuned (AFIB Fuzzy)
Supraventricular Couplet,20,0.49891042709350586,0.2810080647468567,0.007941302843391895,0.9094743132591248,0.6090817451477051,67.46666666666667,Fine-tuned (AFIB Fuzzy)
Prolonged RR Interval,81,0.015131985768675804,0.03278167545795441,0.0006225513643585145,0.11399339884519577,0.003944480326026678,0.0,Fine-tuned (AFIB Fuzzy)
Ventricular Couplet,91,0.011206557974219322,0.022084500640630722,0.00017909864254761487,0.14246594905853271,0.002652382478117943,0.0,Fine-tuned (AFIB Fuzzy)
Ventricular Run,99,0.009286988526582718,0.0074942996725440025,0.0014770502457395196,0.044696126133203506,0.007204776629805565,0.0,Fine-tuned (AFIB Fuzzy)
Pause,143,0.007511441595852375,0.008935247547924519,0.0004768820945173502,0.07692312449216843,0.004678993485867977,0.0,Fine-tuned (AFIB Fuzzy)
