thr,sens,spec,ppv,f1,youden,tp,fp
0.0,1.0,0.0,0.140893470790378,0.2469879518072289,0.0,82,500
0.0006750858156010509,1.0,0.0,0.140893470790378,0.2469879518072289,0.0,82,500
0.0007968111312948167,1.0,0.002,0.14113597246127366,0.2473604826546003,0.0020000000000000018,82,499
0.0008915310027077794,1.0,0.004,0.1413793103448276,0.24773413897280966,0.0040000000000000036,82,498
0.0013537767808884382,1.0,0.006,0.14162348877374784,0.2481089258698941,0.006000000000000005,82,497
0.0013830482494086027,1.0,0.008,0.14186851211072665,0.24848484848484848,0.008000000000000007,82,496
0.0013903062790632248,1.0,0.01,0.14211438474870017,0.2488619119878604,0.010000000000000009,82,495
0.0015111269894987345,1.0,0.012,0.1423611111111111,0.24924012158054712,0.01200000000000001,82,494
0.0016399393789470196,1.0,0.014,0.1426086956521739,0.2496194824961948,0.014000000000000012,82,493
0.0016862647607922554,1.0,0.016,0.14285714285714285,0.25,0.016000000000000014,82,492
0.0017300333129242063,1.0,0.018,0.1431064572425829,0.250381679389313,0.018000000000000016,82,491
0.0017627704655751586,1.0,0.02,0.14335664335664336,0.25076452599388377,0.020000000000000018,82,490
0.0018944055773317814,1.0,0.022,0.1436077057793345,0.25114854517611024,0.02200000000000002,82,489
0.0019504822557792068,1.0,0.024,0.14385964912280702,0.25153374233128833,0.02400000000000002,82,488
0.0019905553199350834,1.0,0.026,0.14411247803163443,0.2519201228878648,0.026000000000000023,82,487
0.001990953227505088,1.0,0.028,0.1443661971830986,0.2523076923076923,0.028000000000000025,82,486
0.0019989698193967342,1.0,0.03,0.14462081128747795,0.2526964560862866,0.030000000000000027,82,485
0.002003471367061138,1.0,0.032,0.14487632508833923,0.25308641975308643,0.03200000000000003,82,484
0.002009287243708968,1.0,0.034,0.14513274336283186,0.2534775888717156,0.03400000000000003,82,483
0.002030846895650029,1.0,0.036,0.1453900709219858,0.25386996904024767,0.03600000000000003,82,482
0.0020607488695532084,1.0,0.038,0.14564831261101244,0.25426356589147286,0.038000000000000034,82,481
0.0021150701213628054,1.0,0.04,0.14590747330960854,0.2546583850931677,0.040000000000000036,82,480
0.002125632483512163,1.0,0.042,0.14616755793226383,0.25505443234836706,0.04200000000000004,82,479
0.0021414754446595907,1.0,0.044,0.14642857142857144,0.2554517133956386,0.04400000000000004,82,478
0.0021595817524939775,1.0,0.046,0.14669051878354203,0.25585023400936036,0.04600000000000004,82,477
0.002161836251616478,1.0,0.048,0.14695340501792115,0.25625,0.04800000000000004,82,476
0.0021873812656849623,1.0,0.05,0.14721723518850988,0.2566510172143975,0.050000000000000044,82,475
0.002195264445617795,1.0,0.052,0.1474820143884892,0.25705329153605017,0.052000000000000046,82,474
0.0022140531800687313,1.0,0.054,0.14774774774774774,0.25745682888540034,0.05400000000000005,82,473
0.0022290556225925684,1.0,0.056,0.148014440433213,0.2578616352201258,0.05600000000000005,82,472
0.0022629962768405676,1.0,0.058,0.14828209764918626,0.25826771653543307,0.05800000000000005,82,471
0.002266697585582733,1.0,0.06,0.14855072463768115,0.2586750788643533,0.06000000000000005,82,470
0.0022723725996911526,1.0,0.062,0.14882032667876588,0.25908372827804105,0.062000000000000055,82,469
0.0022890169639140368,1.0,0.064,0.14909090909090908,0.25949367088607594,0.06400000000000006,82,468
0.0023033395409584045,1.0,0.066,0.1493624772313297,0.25990491283676703,0.06600000000000006,82,467
0.002328711561858654,1.0,0.068,0.14963503649635038,0.26031746031746034,0.06800000000000006,82,466
0.00235187541693449,1.0,0.07,0.14990859232175502,0.26073131955484896,0.07000000000000006,82,465
0.002380055608227849,1.0,0.072,0.15018315018315018,0.2611464968152866,0.07200000000000006,82,464
0.0023899783845990896,1.0,0.074,0.15045871559633028,0.26156299840510366,0.07400000000000007,82,463
0.0023934312630444765,1.0,0.076,0.15073529411764705,0.26198083067092653,0.07600000000000007,82,462
0.002397628268226981,1.0,0.078,0.15101289134438306,0.2624,0.07800000000000007,82,461
0.002398286247625947,1.0,0.08,0.15129151291512916,0.26282051282051283,0.08000000000000007,82,460
0.002402687445282936,1.0,0.082,0.15157116451016636,0.26324237560192615,0.08200000000000007,82,459
0.0024072565138339996,1.0,0.084,0.15185185185185185,0.26366559485530544,0.08400000000000007,82,458
0.0024252543225884438,1.0,0.086,0.15213358070500926,0.2640901771336554,0.08600000000000008,82,457
0.0024493669625371695,1.0,0.088,0.1524163568773234,0.2645161290322581,0.08800000000000008,82,456
0.002457688096910715,1.0,0.09,0.1527001862197393,0.2649434571890145,0.09000000000000008,82,455
0.0024603232741355896,1.0,0.092,0.15298507462686567,0.26537216828478966,0.09200000000000008,82,454
0.00247477856464684,1.0,0.094,0.15327102803738318,0.26580226904376014,0.09400000000000008,82,453
0.0024762519169598818,1.0,0.096,0.15355805243445692,0.2662337662337662,0.09600000000000009,82,452
0.0024818398524075747,1.0,0.098,0.15384615384615385,0.26666666666666666,0.09800000000000009,82,451
0.0024849262554198503,1.0,0.1,0.15413533834586465,0.2671009771986971,0.10000000000000009,82,450
0.0024962183088064194,1.0,0.102,0.1544256120527307,0.26753670473083196,0.10200000000000009,82,449
0.0025111217983067036,1.0,0.104,0.15471698113207547,0.2679738562091503,0.10400000000000009,82,448
0.0025529805570840836,1.0,0.106,0.15500945179584122,0.2684124386252046,0.1060000000000001,82,447
0.0025544320233166218,1.0,0.108,0.1553030303030303,0.26885245901639343,0.1080000000000001,82,446
0.0025655741337686777,1.0,0.11,0.1555977229601518,0.26929392446633826,0.1100000000000001,82,445
0.002577683888375759,1.0,0.112,0.155893536121673,0.26973684210526316,0.1120000000000001,82,444
0.002583571709692478,1.0,0.114,0.15619047619047619,0.2701812191103789,0.1140000000000001,82,443
0.002594840480014682,1.0,0.116,0.15648854961832062,0.2706270627062706,0.1160000000000001,82,442
0.0026016244664788246,1.0,0.118,0.15678776290630975,0.27107438016528923,0.11799999999999988,82,441
0.0026124052237719297,1.0,0.12,0.15708812260536398,0.271523178807947,0.1200000000000001,82,440
0.0026291068643331528,1.0,0.122,0.15738963531669867,0.27197346600331673,0.12199999999999989,82,439
0.0026315588038414717,1.0,0.124,0.1576923076923077,0.2724252491694352,0.12400000000000011,82,438
0.002632449846714735,1.0,0.126,0.1579961464354528,0.27287853577371046,0.1259999999999999,82,437
0.002642317209392786,1.0,0.128,0.1583011583011583,0.2733333333333333,0.1280000000000001,82,436
0.0026569548062980175,1.0,0.13,0.15860735009671179,0.27378964941569284,0.1299999999999999,82,435
0.0026738957967609167,1.0,0.132,0.15891472868217055,0.27424749163879597,0.13200000000000012,82,434
0.0026802346110343933,1.0,0.134,0.15922330097087378,0.2747068676716918,0.1339999999999999,82,433
0.0026874050963670015,1.0,0.136,0.15953307392996108,0.2751677852348993,0.13600000000000012,82,432
0.0026988983154296875,1.0,0.138,0.15984405458089668,0.27563025210084036,0.1379999999999999,82,431
0.002699452918022871,1.0,0.14,0.16015625,0.2760942760942761,0.14000000000000012,82,430
0.002732344903051853,1.0,0.142,0.16046966731898238,0.2765598650927487,0.1419999999999999,82,429
0.0027352438773959875,1.0,0.144,0.1607843137254902,0.27702702702702703,0.1439999999999999,82,428
0.0027557110879570246,1.0,0.146,0.16110019646365423,0.27749576988155666,0.1459999999999999,82,427
0.0027646308299154043,1.0,0.148,0.16141732283464566,0.27796610169491526,0.1479999999999999,82,426
0.0027682813815772533,1.0,0.15,0.16173570019723865,0.27843803056027167,0.1499999999999999,82,425
0.0027927239425480366,1.0,0.152,0.16205533596837945,0.2789115646258503,0.1519999999999999,82,424
0.0027937653940171003,1.0,0.154,0.16237623762376238,0.27938671209540034,0.15399999999999991,82,423
0.002812502905726433,1.0,0.156,0.1626984126984127,0.27986348122866894,0.15599999999999992,82,422
0.002821289701387286,1.0,0.158,0.16302186878727634,0.28034188034188035,0.15799999999999992,82,421
0.002827008720487356,1.0,0.16,0.16334661354581673,0.2808219178082192,0.15999999999999992,82,420
