event,n,4:SINUS BRADYCARDIA,5:ATRIAL FIBRILLATION,6:SINUS TACHYCARDIA,93:SUPRAVENTRICULAR TACHYCARDIA,98:VENTRICULAR TACHYCARDIA,142:WITH SINUS PAUSE,(none fired)
Atrial Fibrillation,500,1.2,72.0,53.0,77.2,0.6,47.0,3.6
Sinus Tachycardia,500,0.0,23.6,99.0,100.0,5.6,14.4,0.0
Bradycardia,500,3.2,67.8,41.6,54.6,0.0,32.6,17.6
Ventricular Run,500,2.4,67.4,34.0,62.4,0.0,43.2,9.8
Supraventricular Run,500,11.8,53.2,40.2,53.0,0.0,40.2,19.2
Pause,500,14.2,60.8,52.6,63.0,0.0,34.8,17.0
