event,n,4:SINUS BRADYCARDIA,5:ATRIAL FIBRILLATION,6:SINUS TACHYCARDIA,93:SUPRAVENTRICULAR TACHYCARDIA,98:VENTRICULAR TACHYCARDIA,142:WITH SINUS PAUSE,(none fired)
Atrial Fibrillation,500,7.0,97.8,34.4,62.0,0.0,78.0,0.4
Bradycardia,500,94.4,14.2,0.0,3.0,0.0,44.6,1.0
Ventricular Run,500,10.8,99.2,2.2,69.8,0.0,90.8,0.2
Supraventricular Run,26,11.5,65.4,23.1,80.8,0.0,96.2,0.0
Pause,82,72.0,34.1,8.5,47.6,0.0,73.2,1.2
