threshold,tp_ret,fp_sup,tp_kept,fp_kept,tp_total,fp_total,min_metric
0.05,71.13133940182054,99.644128113879,547,1,769,281,71.13133940182054
0.054723618090452265,71.52145643693108,99.28825622775801,550,2,769,281,71.52145643693108
0.05944723618090453,71.78153446033811,99.28825622775801,552,2,769,281,71.78153446033811
0.06417085427135678,72.17165149544863,99.28825622775801,555,2,769,281,72.17165149544863
0.06889447236180904,72.43172951885566,99.28825622775801,557,2,769,281,72.43172951885566
0.07361809045226131,72.8218465539662,99.28825622775801,560,2,769,281,72.8218465539662
0.07834170854271356,73.21196358907672,99.28825622775801,563,2,769,281,73.21196358907672
0.08306532663316582,73.47204161248375,99.28825622775801,565,2,769,281,73.47204161248375
0.08778894472361809,74.2522756827048,99.28825622775801,571,2,769,281,74.2522756827048
0.09251256281407036,74.77243172951886,99.28825622775801,575,2,769,281,74.77243172951886
0.09723618090452261,75.2925877763329,98.57651245551602,579,4,769,281,75.2925877763329
0.10195979899497487,75.68270481144343,98.57651245551602,582,4,769,281,75.68270481144343
0.10668341708542714,76.20286085825748,98.57651245551602,586,4,769,281,76.20286085825748
0.1114070351758794,76.4629388816645,98.57651245551602,588,4,769,281,76.4629388816645
0.11613065326633165,77.11313394018205,98.57651245551602,593,4,769,281,77.11313394018205
0.12085427135678392,77.11313394018205,98.57651245551602,593,4,769,281,77.11313394018205
0.1255778894472362,77.37321196358907,98.57651245551602,595,4,769,281,77.37321196358907
0.13030150753768843,77.50325097529259,98.57651245551602,596,4,769,281,77.50325097529259
0.1350251256281407,77.89336801040312,97.86476868327402,599,6,769,281,77.89336801040312
0.13974874371859297,78.02340702210664,97.50889679715303,600,7,769,281,78.02340702210664
0.1444723618090452,78.02340702210664,97.15302491103202,600,8,769,281,78.02340702210664
0.14919597989949748,78.41352405721716,97.15302491103202,603,8,769,281,78.41352405721716
0.15391959798994975,78.8036410923277,97.15302491103202,606,8,769,281,78.8036410923277
0.158643216080402,78.93368010403121,97.15302491103202,607,8,769,281,78.93368010403121
0.16336683417085426,79.19375812743823,97.15302491103202,609,8,769,281,79.19375812743823
0.16809045226130653,79.45383615084525,97.15302491103202,611,8,769,281,79.45383615084525
0.17281407035175878,79.45383615084525,97.15302491103202,611,8,769,281,79.45383615084525
0.17753768844221107,79.9739921976593,96.79715302491103,615,9,769,281,79.9739921976593
0.18226130653266331,80.1040312093628,96.79715302491103,616,9,769,281,80.1040312093628
0.18698492462311556,80.36410923276983,96.79715302491103,618,9,769,281,80.36410923276983
0.19170854271356785,80.75422626788037,96.79715302491103,621,9,769,281,80.75422626788037
0.1964321608040201,80.88426527958387,96.79715302491103,622,9,769,281,80.88426527958387
0.20115577889447234,80.88426527958387,96.79715302491103,622,9,769,281,80.88426527958387
0.20587939698492463,81.01430429128739,96.79715302491103,623,9,769,281,81.01430429128739
0.21060301507537688,81.14434330299089,96.79715302491103,624,9,769,281,81.14434330299089
0.21532663316582912,81.14434330299089,96.79715302491103,624,9,769,281,81.14434330299089
0.22005025125628142,81.2743823146944,96.44128113879003,625,10,769,281,81.2743823146944
0.22477386934673366,81.2743823146944,96.44128113879003,625,10,769,281,81.2743823146944
0.2294974874371859,81.2743823146944,96.44128113879003,625,10,769,281,81.2743823146944
0.2342211055276382,81.53446033810143,96.44128113879003,627,10,769,281,81.53446033810143
0.23894472361809044,81.66449934980494,96.44128113879003,628,10,769,281,81.66449934980494
0.24366834170854268,81.66449934980494,96.08540925266904,628,11,769,281,81.66449934980494
0.24839195979899498,81.79453836150846,96.08540925266904,629,11,769,281,81.79453836150846
0.2531155778894472,81.79453836150846,96.08540925266904,629,11,769,281,81.79453836150846
0.25783919597989946,81.79453836150846,96.08540925266904,629,11,769,281,81.79453836150846
0.26256281407035176,81.92457737321196,95.72953736654804,630,12,769,281,81.92457737321196
0.267286432160804,81.92457737321196,95.72953736654804,630,12,769,281,81.92457737321196
0.27201005025125624,82.05461638491548,95.72953736654804,631,12,769,281,82.05461638491548
0.27673366834170854,82.05461638491548,95.72953736654804,631,12,769,281,82.05461638491548
0.2814572864321608,82.05461638491548,95.37366548042705,631,13,769,281,82.05461638491548
0.286180904522613,82.18465539661898,95.37366548042705,632,13,769,281,82.18465539661898
0.2909045226130653,82.18465539661898,95.37366548042705,632,13,769,281,82.18465539661898
0.29562814070351756,82.3146944083225,95.37366548042705,633,13,769,281,82.3146944083225
0.3003517587939698,82.44473342002601,95.37366548042705,634,13,769,281,82.44473342002601
0.3050753768844221,82.83485045513655,95.37366548042705,637,13,769,281,82.83485045513655
0.30979899497487434,83.09492847854357,95.01779359430606,639,14,769,281,83.09492847854357
0.3145226130653266,83.22496749024707,95.01779359430606,640,14,769,281,83.22496749024707
0.3192462311557789,83.6150845253576,95.01779359430606,643,14,769,281,83.6150845253576
0.3239698492462311,83.87516254876464,94.66192170818505,645,15,769,281,83.87516254876464
0.32869346733668336,84.00520156046814,94.66192170818505,646,15,769,281,84.00520156046814
0.33341708542713566,84.00520156046814,94.66192170818505,646,15,769,281,84.00520156046814
0.3381407035175879,84.13524057217165,94.66192170818505,647,15,769,281,84.13524057217165
0.34286432160804015,84.39531859557867,94.30604982206405,649,16,769,281,84.39531859557867
0.34758793969849244,84.39531859557867,94.30604982206405,649,16,769,281,84.39531859557867
0.3523115577889447,84.52535760728219,94.30604982206405,650,16,769,281,84.52535760728219
0.3570351758793969,84.78543563068921,93.95017793594306,652,17,769,281,84.78543563068921
0.3617587939698492,84.78543563068921,93.95017793594306,652,17,769,281,84.78543563068921
0.36648241206030147,85.04551365409623,93.95017793594306,654,17,769,281,85.04551365409623
0.3712060301507537,85.04551365409623,93.95017793594306,654,17,769,281,85.04551365409623
0.375929648241206,85.04551365409623,93.95017793594306,654,17,769,281,85.04551365409623
0.38065326633165825,85.30559167750324,93.95017793594306,656,17,769,281,85.30559167750324
0.3853768844221105,85.43563068920676,93.59430604982207,657,18,769,281,85.43563068920676
0.3901005025125628,85.43563068920676,93.59430604982207,657,18,769,281,85.43563068920676
0.394824120603015,85.43563068920676,93.59430604982207,657,18,769,281,85.43563068920676
0.39954773869346727,85.56566970091028,93.23843416370107,658,19,769,281,85.56566970091028
0.40427135678391957,85.69570871261378,93.23843416370107,659,19,769,281,85.69570871261378
0.4089949748743718,85.8257477243173,93.23843416370107,660,19,769,281,85.8257477243173
0.41371859296482405,85.8257477243173,92.88256227758008,660,20,769,281,85.8257477243173
0.41844221105527635,85.8257477243173,92.88256227758008,660,20,769,281,85.8257477243173
0.4231658291457286,85.95578673602081,92.52669039145907,661,21,769,281,85.95578673602081
0.4278894472361809,86.21586475942783,92.52669039145907,663,21,769,281,86.21586475942783
0.43261306532663313,86.47594278283485,92.17081850533808,665,22,769,281,86.47594278283485
0.43733668341708537,86.60598179453837,92.17081850533808,666,22,769,281,86.60598179453837
0.44206030150753767,86.9960988296489,91.81494661921708,669,23,769,281,86.9960988296489
0.4467839195979899,87.25617685305592,91.81494661921708,671,23,769,281,87.25617685305592
0.45150753768844215,87.51625487646294,91.81494661921708,673,23,769,281,87.51625487646294
0.45623115577889445,87.51625487646294,91.45907473309609,673,24,769,281,87.51625487646294
0.4609547738693467,87.64629388816645,90.74733096085409,674,26,769,281,87.64629388816645
0.46567839195979893,87.90637191157347,90.74733096085409,676,26,769,281,87.90637191157347
0.47040201005025123,88.42652795838751,90.39145907473309,680,27,769,281,88.42652795838751
0.47512562814070347,88.42652795838751,90.39145907473309,680,27,769,281,88.42652795838751
0.4798492462311557,88.68660598179454,90.0355871886121,682,28,769,281,88.68660598179454
0.484572864321608,88.81664499349804,90.0355871886121,683,28,769,281,88.81664499349804
0.48929648241206025,89.20676202860858,90.0355871886121,686,28,769,281,89.20676202860858
0.4940201005025125,89.3368010403121,89.6797153024911,687,29,769,281,89.3368010403121
0.4987437185929648,89.3368010403121,89.32384341637011,687,30,769,281,89.32384341637011
0.503467336683417,89.3368010403121,88.96797153024912,687,31,769,281,88.96797153024912
0.5081909547738693,89.59687906371911,88.25622775800713,689,33,769,281,88.25622775800713
0.5129145728643216,89.72691807542263,87.54448398576513,690,35,769,281,87.54448398576513
0.5176381909547738,89.85695708712613,87.18861209964413,691,36,769,281,87.18861209964413
0.5223618090452261,89.98699609882965,87.18861209964413,692,36,769,281,87.18861209964413
0.5270854271356784,90.11703511053317,87.18861209964413,693,36,769,281,87.18861209964413
0.5318090452261306,90.24707412223667,87.18861209964413,694,36,769,281,87.18861209964413
0.5365326633165829,90.37711313394018,87.18861209964413,695,36,769,281,87.18861209964413
0.5412562814070352,90.50715214564369,86.83274021352312,696,37,769,281,86.83274021352312
0.5459798994974874,90.89726918075422,86.83274021352312,699,37,769,281,86.83274021352312
0.5507035175879397,91.02730819245774,86.83274021352312,700,37,769,281,86.83274021352312
0.555427135678392,91.15734720416125,86.83274021352312,701,37,769,281,86.83274021352312
0.5601507537688443,91.28738621586476,86.83274021352312,702,37,769,281,86.83274021352312
0.5648743718592965,91.28738621586476,86.83274021352312,702,37,769,281,86.83274021352312
0.5695979899497488,91.28738621586476,86.47686832740213,702,38,769,281,86.47686832740213
0.574321608040201,91.54746423927178,86.47686832740213,704,38,769,281,86.47686832740213
0.5790452261306532,91.67750325097529,86.12099644128114,705,39,769,281,86.12099644128114
0.5837688442211055,91.80754226267881,85.40925266903915,706,41,769,281,85.40925266903915
0.5884924623115578,91.80754226267881,85.05338078291815,706,42,769,281,85.05338078291815
0.59321608040201,91.80754226267881,84.69750889679715,706,43,769,281,84.69750889679715
0.5979396984924623,91.93758127438231,84.69750889679715,707,43,769,281,84.69750889679715
0.6026633165829146,91.93758127438231,84.34163701067617,707,44,769,281,84.34163701067617
0.6073869346733668,91.93758127438231,83.98576512455516,707,45,769,281,83.98576512455516
