threshold,tp_ret,fp_sup,tp_kept,fp_kept,tp_total,fp_total,min_metric
0.05,26.599749058971142,100.0,212,0,797,78,26.599749058971142
0.054723618090452265,27.728983688833125,100.0,221,0,797,78,27.728983688833125
0.05944723618090453,28.983688833124216,100.0,231,0,797,78,28.983688833124216
0.06417085427135678,29.987452948557088,100.0,239,0,797,78,29.987452948557088
0.06889447236180904,31.994981179422837,100.0,255,0,797,78,31.994981179422837
0.07361809045226131,32.74780426599749,100.0,261,0,797,78,32.74780426599749
0.07834170854271356,33.87703889585947,100.0,270,0,797,78,33.87703889585947
0.08306532663316582,34.62986198243413,100.0,276,0,797,78,34.62986198243413
0.08778894472361809,35.131744040150565,98.71794871794873,280,1,797,78,35.131744040150565
0.09251256281407036,36.13550815558344,98.71794871794873,288,1,797,78,36.13550815558344
0.09723618090452261,37.13927227101631,97.43589743589743,296,2,797,78,37.13927227101631
0.10195979899497487,37.641154328732746,97.43589743589743,300,2,797,78,37.641154328732746
0.10668341708542714,37.89209535759097,97.43589743589743,302,2,797,78,37.89209535759097
0.1114070351758794,38.01756587202008,97.43589743589743,303,2,797,78,38.01756587202008
0.11613065326633165,38.64491844416562,97.43589743589743,308,2,797,78,38.64491844416562
0.12085427135678392,39.39774153074028,97.43589743589743,314,2,797,78,39.39774153074028
0.1255778894472362,39.89962358845671,97.43589743589743,318,2,797,78,39.89962358845671
0.13030150753768843,40.27603513174404,97.43589743589743,321,2,797,78,40.27603513174404
0.1350251256281407,40.65244667503137,97.43589743589743,324,2,797,78,40.65244667503137
0.13974874371859297,40.903387703889585,97.43589743589743,326,2,797,78,40.903387703889585
0.1444723618090452,41.40526976160602,97.43589743589743,330,2,797,78,41.40526976160602
0.14919597989949748,42.534504391468005,97.43589743589743,339,2,797,78,42.534504391468005
0.15391959798994975,42.534504391468005,96.15384615384616,339,3,797,78,42.534504391468005
0.158643216080402,43.16185696361355,96.15384615384616,344,3,797,78,43.16185696361355
0.16336683417085426,44.04015056461731,96.15384615384616,351,3,797,78,44.04015056461731
0.16809045226130653,44.54203262233375,96.15384615384616,355,3,797,78,44.54203262233375
0.17281407035175878,44.91844416562108,96.15384615384616,358,3,797,78,44.91844416562108
0.17753768844221107,45.043914680050186,96.15384615384616,359,3,797,78,45.043914680050186
0.18226130653266331,45.29485570890841,96.15384615384616,361,3,797,78,45.29485570890841
0.18698492462311556,45.42032622333752,96.15384615384616,362,3,797,78,45.42032622333752
0.19170854271356785,45.922208281053955,94.87179487179486,366,4,797,78,45.922208281053955
0.1964321608040201,46.42409033877039,94.87179487179486,370,4,797,78,46.42409033877039
0.20115577889447234,46.675031367628605,94.87179487179486,372,4,797,78,46.675031367628605
0.20587939698492463,47.17691342534504,94.87179487179486,376,4,797,78,47.17691342534504
0.21060301507537688,47.553324968632374,94.87179487179486,379,4,797,78,47.553324968632374
0.21532663316582912,47.80426599749059,94.87179487179486,381,4,797,78,47.80426599749059
0.22005025125628142,48.05520702634881,94.87179487179486,383,4,797,78,48.05520702634881
0.22477386934673366,48.306148055207025,94.87179487179486,385,4,797,78,48.306148055207025
0.2294974874371859,48.68255959849435,94.87179487179486,388,4,797,78,48.68255959849435
0.2342211055276382,48.93350062735257,94.87179487179486,390,4,797,78,48.93350062735257
0.23894472361809044,49.05897114178168,94.87179487179486,391,4,797,78,49.05897114178168
0.24366834170854268,49.43538268506901,94.87179487179486,394,4,797,78,49.43538268506901
0.24839195979899498,49.56085319949812,94.87179487179486,395,4,797,78,49.56085319949812
0.2531155778894472,49.56085319949812,94.87179487179486,395,4,797,78,49.56085319949812
0.25783919597989946,49.68632371392723,93.58974358974359,396,5,797,78,49.68632371392723
0.26256281407035176,49.68632371392723,93.58974358974359,396,5,797,78,49.68632371392723
0.267286432160804,50.062735257214555,93.58974358974359,399,5,797,78,50.062735257214555
0.27201005025125624,50.188205771643666,93.58974358974359,400,5,797,78,50.188205771643666
0.27673366834170854,50.43914680050188,93.58974358974359,402,5,797,78,50.43914680050188
0.2814572864321608,50.43914680050188,93.58974358974359,402,5,797,78,50.43914680050188
0.286180904522613,50.6900878293601,93.58974358974359,404,5,797,78,50.6900878293601
0.2909045226130653,50.815558343789206,93.58974358974359,405,5,797,78,50.815558343789206
0.29562814070351756,50.94102885821832,93.58974358974359,406,5,797,78,50.94102885821832
0.3003517587939698,51.19196988707654,93.58974358974359,408,5,797,78,51.19196988707654
0.3050753768844221,51.19196988707654,91.02564102564102,408,7,797,78,51.19196988707654
0.30979899497487434,51.693851944792975,91.02564102564102,412,7,797,78,51.693851944792975
0.3145226130653266,51.819322459222086,91.02564102564102,413,7,797,78,51.819322459222086
0.3192462311557789,51.94479297365119,91.02564102564102,414,7,797,78,51.94479297365119
0.3239698492462311,52.19573400250941,91.02564102564102,416,7,797,78,52.19573400250941
0.32869346733668336,52.19573400250941,89.74358974358975,416,8,797,78,52.19573400250941
0.33341708542713566,52.32120451693852,89.74358974358975,417,8,797,78,52.32120451693852
0.3381407035175879,52.446675031367626,89.74358974358975,418,8,797,78,52.446675031367626
0.34286432160804015,52.69761606022585,89.74358974358975,420,8,797,78,52.69761606022585
0.34758793969849244,52.69761606022585,89.74358974358975,420,8,797,78,52.69761606022585
0.3523115577889447,53.199498117942284,89.74358974358975,424,8,797,78,53.199498117942284
0.3570351758793969,53.324968632371395,89.74358974358975,425,8,797,78,53.324968632371395
0.3617587939698492,53.450439146800505,89.74358974358975,426,8,797,78,53.450439146800505
0.36648241206030147,53.57590966122961,89.74358974358975,427,8,797,78,53.57590966122961
0.3712060301507537,53.70138017565872,89.74358974358975,428,8,797,78,53.70138017565872
0.375929648241206,54.203262233375156,89.74358974358975,432,8,797,78,54.203262233375156
0.38065326633165825,54.45420326223338,89.74358974358975,434,8,797,78,54.45420326223338
0.3853768844221105,54.8306148055207,89.74358974358975,437,8,797,78,54.8306148055207
0.3901005025125628,54.8306148055207,89.74358974358975,437,8,797,78,54.8306148055207
0.394824120603015,54.956085319949814,87.17948717948718,438,10,797,78,54.956085319949814
0.39954773869346727,54.956085319949814,87.17948717948718,438,10,797,78,54.956085319949814
0.40427135678391957,54.956085319949814,87.17948717948718,438,10,797,78,54.956085319949814
0.4089949748743718,55.20702634880803,87.17948717948718,440,10,797,78,55.20702634880803
0.41371859296482405,55.33249686323714,87.17948717948718,441,10,797,78,55.33249686323714
0.41844221105527635,55.45796737766625,87.17948717948718,442,10,797,78,55.45796737766625
0.4231658291457286,55.708908406524465,87.17948717948718,444,10,797,78,55.708908406524465
0.4278894472361809,55.708908406524465,87.17948717948718,444,10,797,78,55.708908406524465
0.43261306532663313,55.708908406524465,87.17948717948718,444,10,797,78,55.708908406524465
0.43733668341708537,55.834378920953576,87.17948717948718,445,10,797,78,55.834378920953576
0.44206030150753767,55.834378920953576,87.17948717948718,445,10,797,78,55.834378920953576
0.4467839195979899,56.0853199498118,87.17948717948718,447,10,797,78,56.0853199498118
0.45150753768844215,56.33626097867001,87.17948717948718,449,10,797,78,56.33626097867001
0.45623115577889445,56.33626097867001,87.17948717948718,449,10,797,78,56.33626097867001
0.4609547738693467,56.587202007528234,87.17948717948718,451,10,797,78,56.587202007528234
0.46567839195979893,56.587202007528234,87.17948717948718,451,10,797,78,56.587202007528234
0.47040201005025123,56.83814303638645,87.17948717948718,453,10,797,78,56.83814303638645
0.47512562814070347,57.08908406524467,87.17948717948718,455,10,797,78,57.08908406524467
0.4798492462311557,57.340025094102884,85.8974358974359,457,11,797,78,57.340025094102884
0.484572864321608,57.340025094102884,85.8974358974359,457,11,797,78,57.340025094102884
0.48929648241206025,57.340025094102884,85.8974358974359,457,11,797,78,57.340025094102884
0.4940201005025125,57.71643663739021,85.8974358974359,460,11,797,78,57.71643663739021
0.4987437185929648,57.71643663739021,84.61538461538461,460,12,797,78,57.71643663739021
0.503467336683417,57.71643663739021,84.61538461538461,460,12,797,78,57.71643663739021
0.5081909547738693,57.71643663739021,84.61538461538461,460,12,797,78,57.71643663739021
0.5129145728643216,58.09284818067754,84.61538461538461,463,12,797,78,58.09284818067754
