dynamic_range_mv,flat_pct,clip_pct,baseline_drift,hf_noise_ratio,snr_proxy,kurt,n_peaks,mean_hr_bpm,rr_cv,pct_physiologic_hr,sqi_score_ecg,mean_motion_mg,std_motion_mg,max_motion_mg,sqi_score_amb,sqi_class,activity_label,subject
3.711956739425659,7.089476873358917,8.3,0.4015361949768712,0.007657672130400778,0.20279191429168872,5.0042912120235155,13,76.43423734534645,0.17643504293783974,100.0,0.6145337743313909,1.0118108222239128,10.969931094696864,519.5124358396855,0.6083158550964848,acceptable,baseline,03FH
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.2,0.3117074615038113,11.612468469472136,519.5124358396855,0.1993765850769924,poor,baseline,03FH
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.2,0.3117074615038113,11.612468469472136,519.5124358396855,0.1993765850769924,poor,baseline,03FH
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.2,0.3117074615038113,11.612468469472136,519.5124358396855,0.1993765850769924,poor,baseline,03FH
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.2,0.3117074615038113,11.612468469472136,519.5124358396855,0.1993765850769924,poor,baseline,03FH
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.2,0.3117074615038113,11.612468469472136,519.5124358396855,0.1993765850769924,poor,baseline,03FH
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.2,0.3117074615038113,11.612468469472136,519.5124358396855,0.1993765850769924,poor,baseline,03FH
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.2,0.3117074615038113,11.612468469472136,519.5124358396855,0.1993765850769924,poor,baseline,03FH
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.2,0.3117074615038113,11.612468469472136,519.5124358396855,0.1993765850769924,poor,baseline,03FH
3.706953525543213,66.8551807715613,67.17999999999999,0.8252905952770851,0.005610472881354373,0.028554621071599763,-0.6342113584589724,6,96.7741935483871,0.016806722661915463,100.0,0.28478501433576164,0.6839960177517803,12.318548031637517,519.5124358396855,0.2828370961785512,poor,baseline,03FH
